version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
airavata-0.2-incubating,0,0,0,0,0,0,2012-09-20
airavata-0.4-incubating,557,16,0.02872531418312388,169,12,0.07100591715976332,2012-09-20
airavata-0.1-incubating,0,0,0,0,0,0,2012-09-20
airavata-0.3-incubating,0,0,0,0,0,0,2012-09-20
airavata-0.5,633,77,0.12164296998420221,367,29,0.07901907356948229,2012-11-02
airavata-0.6,277,18,0.06498194945848375,145,10,0.06896551724137931,2013-01-26
airavata-0.7,267,17,0.06367041198501873,177,13,0.07344632768361582,2013-04-09
airavata-0.8,193,25,0.12953367875647667,108,12,0.1111111111111111,2013-07-12
airavata-0.9,135,7,0.05185185185185185,82,4,0.04878048780487805,2013-09-19
0.10,312,1,0.003205128205128205,47,3,0.06382978723404255,2013-10-30
airavata-0.11,1941,183,0.09428129829984544,833,105,0.12605042016806722,2013-12-26
airavata-0.12,862,5,0.00580046403712297,409,6,0.014669926650366748,2014-06-24
airavata-0.13,640,46,0.071875,454,23,0.05066079295154185,2014-08-01
airavata-0.14,2736,86,0.031432748538011694,1008,17,0.016865079365079364,2014-12-29
airavata-0.15,838,7,0.008353221957040573,510,5,0.00980392156862745,2015-12-04
