version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
apache/release-0.9.0-rc3,0,0,0,0,0,0,2012-09-07
release-0.9.0-rc3,961,593,0.6170655567117586,386,5,0.012953367875647668,2012-09-07
release-1.2.0-rc0,203,68,0.33497536945812806,146,5,0.03424657534246575,2013-01-15
apache/release-1.2.0-rc0,0,0,0,0,0,0,2013-01-15
apache/release-1.2.0,0,0,0,0,0,0,2013-02-04
release-1.2.0,7,0,0.0,29,0,0.0,2013-02-04
release-1.2.1-rc0,226,14,0.061946902654867256,178,9,0.05056179775280899,2013-02-11
apache/release-1.2.1-rc0,0,0,0,0,0,0,2013-02-11
apache/release-1.2.1-rc1,0,0,0,0,0,0,2013-03-14
release-1.2.1-rc1,142,1,0.007042253521126761,28,2,0.07142857142857142,2013-03-14
release-1.2.2-rc0,72,1,0.013888888888888888,44,1,0.022727272727272728,2013-03-22
apache/release-1.2.2-rc0,0,0,0,0,0,0,2013-03-22
apache/release-1.2.1,0,0,0,0,0,0,2013-03-31
release-1.2.1,82,3,0.036585365853658534,27,2,0.07407407407407407,2013-03-31
release-1.2.2-rc1,61,13,0.21311475409836064,81,3,0.037037037037037035,2013-04-05
apache/release-1.2.2-rc1,0,0,0,0,0,0,2013-04-05
release-1.2.2,63,7,0.1111111111111111,199,2,0.010050251256281407,2013-04-15
apache/release-1.2.2,0,0,0,0,0,0,2013-04-15
apache/release-1.2.3-rc0,0,0,0,0,0,0,2013-05-13
release-1.2.3-rc0,66,3,0.045454545454545456,97,3,0.030927835051546393,2013-05-13
apache/release-1.2.3-rc1,0,0,0,0,0,0,2013-05-29
release-1.2.3-rc1,105,40,0.38095238095238093,322,24,0.07453416149068323,2013-05-29
release-1.2.4,0,0,0,0,0,0,2013-07-09
release-1.2.4-rc0,95,16,0.16842105263157894,390,29,0.07435897435897436,2013-07-09
release-1.2.5,0,0,0,0,0,0,2013-08-22
release-1.2.5-rc0,137,7,0.051094890510948905,541,73,0.13493530499075784,2013-08-22
bigwheel-GA-1.4.1.25,0,0,0,0,0,0,2013-10-17
release-1.4.1,0,0,0,0,0,0,2013-10-17
release-1.4.1-rc0,332,76,0.2289156626506024,654,113,0.172782874617737,2013-10-17
release-1.4.2-rc0,159,10,0.06289308176100629,196,22,0.11224489795918367,2013-12-19
release-1.4.3-rc0,215,13,0.06046511627906977,323,30,0.09287925696594428,2014-01-15
release-1.4.3,0,0,0,0,0,0,2014-01-15
release-1.4.4,0,0,0,0,0,0,2014-02-11
release-1.4.4-rc0,258,57,0.22093023255813954,672,76,0.1130952380952381,2014-02-11
ambari-1.5.0,39,0,0.0,25,4,0.16,2014-03-29
release-1.5.0-rc0,59,9,0.15254237288135594,160,16,0.1,2014-04-01
release-1.5.0,0,0,0,0,0,0,2014-04-01
release-1.5.1-rc0,261,33,0.12643678160919541,376,39,0.10372340425531915,2014-04-14
release-1.5.1,0,0,0,0,0,0,2014-04-14
release-1.6.0,0,0,0,0,0,0,2014-05-20
release-1.6.0-rc0,462,46,0.09956709956709957,598,121,0.20234113712374582,2014-05-20
release-1.6.1-rc0,15,0,0.0,19,6,0.3157894736842105,2014-07-08
release-1.6.1-rc1,23,0,0.0,26,2,0.07692307692307693,2014-07-10
release-1.6.1-rc2,820,146,0.17804878048780487,1898,330,0.17386722866174922,2014-07-14
release-1.6.1,0,0,0,0,0,0,2014-07-14
release-1.7.0-rc0,119,0,0.0,52,6,0.11538461538461539,2014-11-19
release-1.7.0,0,0,0,0,0,0,2014-11-19
Ambari-1.7.0,1039,239,0.2300288739172281,1752,272,0.1552511415525114,2014-11-24
release-2.0.0-rc0,41,0,0.0,24,4,0.16666666666666666,2015-03-19
release-2.0.0-rc1,2,0,0.0,4,0,0.0,2015-03-20
release-2.0.0-rc2,121,10,0.08264462809917356,126,17,0.1349206349206349,2015-03-23
release-2.0.0-rc3,128,4,0.03125,51,6,0.11764705882352941,2015-03-31
release-2.0.0,0,0,0,0,0,0,2015-04-02
release-2.0.0-rc4,774,111,0.1434108527131783,922,106,0.11496746203904555,2015-04-02
release-2.0.1-rc0,478,146,0.3054393305439331,1068,259,0.24250936329588016,2015-05-20
release-2.1.0-rc0,9,0,0.0,25,3,0.12,2015-07-08
release-2.1.0,0,0,0,0,0,0,2015-07-09
release-2.1.0-rc1,57,2,0.03508771929824561,68,11,0.16176470588235295,2015-07-09
Ambari-2.1.0-tag,64,15,0.234375,87,13,0.14942528735632185,2015-07-19
release-2.0.2-rc0,41,9,0.21951219512195122,64,12,0.1875,2015-07-27
release-2.0.2-rc1,2,0,0.0,2,0,0.0,2015-07-31
release-2.0.2,0,0,0,0,0,0,2015-08-03
release-2.0.2-rc2,121,71,0.5867768595041323,223,75,0.336322869955157,2015-08-03
release-2.1.1-rc0,242,102,0.4214876033057851,326,70,0.2147239263803681,2015-08-24
release-2.1.1,0,0,0,0,0,0,2015-08-24
release-2.1.2-rc0,28,3,0.10714285714285714,22,5,0.22727272727272727,2015-09-23
release-2.1.2-rc1,5,0,0.0,15,1,0.06666666666666667,2015-09-24
release-2.1.2-rc2,2,2,1.0,6,3,0.5,2015-09-26
release-2.1.2,0,0,0,0,0,0,2015-09-28
release-2.1.2-rc3,708,176,0.24858757062146894,913,217,0.23767798466593648,2015-09-28
2.1.3_to_2.2.0_rename,232,22,0.09482758620689655,183,40,0.2185792349726776,2015-12-03
release-2.2.0-rc1,8,3,0.375,2,1,0.5,2015-12-15
