version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
apollo-project-1.0-beta1,612,0,0.0,52,0,0.0,2011-04-01
apollo-project-1.0-beta2,122,0,0.0,80,6,0.075,2011-05-03
1.0-beta3,20,5,0.25,23,1,0.043478260869565216,2011-06-03
apollo-project-1.0-beta3,100,2,0.02,54,7,0.12962962962962962,2011-06-09
apollo-project-1.0-beta4,71,2,0.028169014084507043,100,7,0.07,2011-06-29
apollo-project-1.0-beta5,15,4,0.26666666666666666,62,12,0.1935483870967742,2011-08-29
apollo-project-1.0-beta6,684,3,0.0043859649122807015,141,15,0.10638297872340426,2011-12-08
apollo-project-1.0,70,6,0.08571428571428572,93,14,0.15053763440860216,2012-01-30
apollo-project-1.1,33,4,0.12121212121212122,49,8,0.16326530612244897,2012-02-29
apollo-project-1.2,0,0,0,23,5,0.21739130434782608,2012-04-13
apollo-project-1.3,51,16,0.3137254901960784,94,20,0.2127659574468085,2012-05-03
apollo-project-1.4,56,11,0.19642857142857142,118,19,0.16101694915254236,2012-07-31
apollo-project-1.5,190,47,0.24736842105263157,186,18,0.0967741935483871,2012-11-05
apollo-project-1.6,43,6,0.13953488372093023,136,33,0.2426470588235294,2013-02-20
apollo-project-1.7,1,1,1.0,15,3,0.2,2014-02-24
