version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
start,726,26,0.03581267217630854,456,9,0.019736842105263157,2000-10-10
batik-1_0beta,986,0,0.0,153,0,0.0,2000-12-02
batik-1_0beta2rc1,142,2,0.014084507042253521,39,1,0.02564102564102564,2001-01-27
batik-1_0beta2rc2,159,27,0.16981132075471697,40,5,0.125,2001-02-03
beforeBoundsChange,11,0,0.0,7,0,0.0,2001-02-07
batik-1_0beta2rc3,101,0,0.0,31,0,0.0,2001-02-09
batik-1_0beta2rc4,45,0,0.0,14,0,0.0,2001-02-16
batik-1_0beta2rc5,22,0,0.0,11,0,0.0,2001-03-01
svgbrowser,234,0,0.0,46,0,0.0,2001-03-08
batik-1_0beta2rc6,268,3,0.011194029850746268,47,1,0.02127659574468085,2001-03-16
batik-1_0beta2rc7,134,0,0.0,67,0,0.0,2001-03-31
batik-1_0beta2rc8,65,0,0.0,55,0,0.0,2001-04-14
batik-1_0beta2rc9,234,0,0.0,48,1,0.020833333333333332,2001-04-23
batik-1_0beta2,234,61,0.2606837606837607,151,3,0.019867549668874173,2001-05-01
batik_1_0,154,42,0.2727272727272727,72,2,0.027777777777777776,2001-05-21
batik-1_1rc1,162,44,0.2716049382716049,84,2,0.023809523809523808,2001-07-27
batik-1_1rc2,391,42,0.10741687979539642,223,8,0.03587443946188341,2001-09-10
batik-1_1rc3,188,37,0.19680851063829788,144,6,0.041666666666666664,2001-10-22
batik-1_1rc4,38,0,0.0,48,0,0.0,2001-11-20
batik-1_1,16,4,0.25,22,1,0.045454545454545456,2001-12-06
batik-1_1_1,224,32,0.14285714285714285,144,7,0.04861111111111111,2001-12-18
batik-1_5beta1,677,24,0.03545051698670606,145,3,0.020689655172413793,2002-03-11
batik-1_5beta2,146,2,0.0136986301369863,100,3,0.03,2002-05-10
batik-1_5beta3,104,8,0.07692307692307693,64,2,0.03125,2002-06-19
batik-1_5beta4,0,0,0,1,0,0.0,2002-08-28
batik-1_5beta4b,261,6,0.022988505747126436,116,2,0.017241379310344827,2002-08-28
batik-1_5beta5,795,4,0.005031446540880503,109,3,0.027522935779816515,2003-03-25
batik-1_5,1352,18,0.013313609467455622,86,3,0.03488372093023256,2003-07-11
batik-1_5_1rc2,22,0,0.0,18,0,0.0,2003-12-20
batik-1_5_1,1517,152,0.1001977587343441,80,7,0.0875,2004-02-24
batik-1_6,1924,400,0.2079002079002079,351,13,0.037037037037037035,2005-04-10
batik-1_7beta1,296,6,0.02027027027027027,157,2,0.012738853503184714,2007-03-26
batik-1_7,873,532,0.6093928980526919,202,18,0.0891089108910891,2008-01-02
batik-1_8,1,0,0.0,2,0,0.0,2015-03-17
batik-1_6_1,0,0,0,0,0,0,2015-05-11
batik-1_7_1,4628,1,0.000216076058772688,79,10,0.12658227848101267,2015-05-11
batik-1_9,270,116,0.42962962962962964,14,10,0.7142857142857143,2017-04-10
batik-1_9_1,744,204,0.27419354838709675,40,19,0.475,2017-08-15
