version_name,#files in version,#bugged files in version,bugged_ratio,version_date
release-4.0.0,2021,189,0.09351806036615537,2011-12-02
release-4.1.0,2049,367,0.1791117618350415,2012-06-07
release-4.2.0,2111,214,0.10137375651350071,2013-01-14
release-4.2.1,2111,162,0.07674088109900522,2013-02-19
release-4.2.2,2112,210,0.09943181818181818,2013-10-02
release-4.2.3,2112,135,0.06392045454545454,2014-06-23
release-4.3.0,2263,40,0.017675651789659744,2014-10-08
release-4.2.4,2112,45,0.02130681818181818,2014-12-19
release-4.3.1,2263,153,0.06760936809544851,2015-05-19
release-4.3.2,2263,482,0.2129916040653999,2015-11-17
release-4.4.0,1876,1256,0.6695095948827292,2016-05-05
release-4.5.0,1819,783,0.43045629466739965,2017-08-13
release-4.5.1,1804,401,0.2222838137472284,2017-12-01
release-4.6.0,1691,447,0.2643406268480189,2017-12-26
release-4.6.1,1681,424,0.25223081499107675,2018-01-30
release-4.6.2,1675,8,0.004776119402985075,2018-04-03
release-4.7.0,589,196,0.33276740237691,2018-04-17
