version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
v_1_1_b1,2,0,0.0,2,0,0.0,2000-12-14
v_1_0,0,0,0,0,0,0,2000-12-14
v_1_0_4,0,0,0,0,0,0,2000-12-14
v_1_0_1,0,0,0,0,0,0,2000-12-14
v_1_1b3,0,0,0,0,0,0,2001-04-14
v_1_1_3,0,0,0,0,0,0,2001-04-14
v_1_1b6,0,0,0,0,0,0,2001-04-14
v_1_1b7,0,0,0,0,0,0,2001-04-14
v1_2beta1,0,0,0,0,0,0,2001-04-14
v_1_2beta3,14,0,0.0,13,0,0.0,2001-04-14
v_1_1,0,0,0,0,0,0,2001-04-14
v1_2_alpha7,0,0,0,0,0,0,2001-04-14
v1_2_alpha0,0,0,0,0,0,0,2001-04-14
v_1_1_1,0,0,0,0,0,0,2001-04-14
v_1_1_2,0,0,0,0,0,0,2001-04-14
v_1_1b2,0,0,0,0,0,0,2001-04-14
v_1_1b5,0,0,0,0,0,0,2001-04-14
v1_2final,2,0,0.0,2,0,0.0,2002-05-09
v1_2_2,0,0,0,0,0,0,2002-05-09
v1_2_3,0,0,0,0,0,0,2002-05-09
v1_2_1,0,0,0,0,0,0,2002-05-09
v1_2_4,1,0,0.0,1,0,0.0,2002-05-29
v1_2_6,0,0,0,0,0,0,2002-07-31
v1_2_7,21,0,0.0,19,0,0.0,2002-07-31
CHAINSAW_2_SANDBOX_MERGE,145,0,0.0,56,0,0.0,2003-05-05
PRE_CHAINSAW_MODEL_CONVERSION,152,0,0.0,338,0,0.0,2003-09-03
PREALPHA_1_3_AS_OF_2004_05_12,54,0,0.0,110,0,0.0,2004-05-12
v1_2_9,22,0,0.0,2,0,0.0,2004-11-01
v1_3alpha_1,43,0,0.0,13,0,0.0,2004-11-24
PRE_UGLI_MOVE,7,0,0.0,5,0,0.0,2004-12-28
v1_3alpha_6,3,0,0.0,2,0,0.0,2005-01-19
TAG_CHAINSAW2_MOVE,60,0,0.0,66,0,0.0,2005-02-21
release_20060202,9,0,0.0,5,0,0.0,2006-02-02
release_20060209,12,0,0.0,10,0,0.0,2006-02-08
