version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
clerezza-0.2-incubating,0,0,0,0,0,0,2013-03-03
clerezza-0.3-incubating,0,0,0,0,0,0,2013-03-03
clerezza-201107,579,26,0.044905008635578586,39,15,0.38461538461538464,2013-03-03
clerezza-0.3,2,1,0.5,6,1,0.16666666666666666,2013-04-01
jaxrs.utils-0.7,68,22,0.3235294117647059,49,10,0.20408163265306123,2013-04-10
release20130710-reactor-0.3,262,49,0.18702290076335878,303,97,0.3201320132013201,2013-07-11
version-201407,36,10,0.2777777777777778,48,28,0.5833333333333334,2014-07-01
typehandlerspace-0.2,208,6,0.028846153846153848,19,3,0.15789473684210525,2014-09-22
clerezza-parent-6,991,0,0.0,75,2,0.02666666666666667,2015-03-21
201505-1.0.0,8,0,0.0,4,0,0.0,2015-05-20
rdf.rdfjson-1.0.0,26,0,0.0,37,8,0.21621621621621623,2015-05-26
201508-1,9,5,0.5555555555555556,17,6,0.35294117647058826,2015-11-18
