version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
2.1.98,55,0,0.0,15,0,0.0,2010-08-11
2.1.99,359,0,0.0,442,0,0.0,2010-08-11
2.1.3.RC1,1,0,0.0,10,0,0.0,2010-09-03
2.1.3,778,0,0.0,801,0,0.0,2010-09-05
2.1.4RC1,3,0,0.0,14,0,0.0,2010-10-15
2.1.4,572,0,0.0,1042,0,0.0,2010-10-15
2.1.5RC1,0,0,0,1,0,0.0,2010-11-16
2.1.5,137,0,0.0,144,0,0.0,2010-11-16
2.1.6RC1,922,0,0.0,21,0,0.0,2010-11-19
2.1.6,702,0,0.0,1004,0,0.0,2010-11-22
2.1.7RC1,64,0,0.0,39,0,0.0,2011-01-03
2.1.7RC2,153,0,0.0,116,0,0.0,2011-01-04
2.1.7,1087,0,0.0,929,0,0.0,2011-01-07
2.2.0,28,0,0.0,28,0,0.0,2011-02-09
tag-2.2.1,430,0,0.0,448,0,0.0,2011-02-11
2.2.1,0,0,0,0,0,0,2011-02-11
tag-2.2.2,95,0,0.0,41,0,0.0,2011-03-09
tag-2.2.3,750,0,0.0,93,0,0.0,2011-03-15
tag-2.1.8,0,0,0,0,0,0,2011-03-22
tag-2.1.8RC1,43,0,0.0,28,0,0.0,2011-03-22
tag-219RC1,669,0,0.0,661,2,0.0030257186081694403,2011-03-23
tag-2.1.9,0,0,0,0,0,0,2011-03-23
tag-2.2.4-RC1,155,0,0.0,73,0,0.0,2011-05-13
tag-2.2.4,0,0,0,0,0,0,2011-05-13
tag-2.2.5-RC1,50,0,0.0,19,0,0.0,2011-05-19
tag-2.2.5-RC2,20,0,0.0,9,0,0.0,2011-05-22
tag-2.2.5-RC3,8,0,0.0,4,0,0.0,2011-05-24
tag-2.2.5,61,0,0.0,32,0,0.0,2011-05-24
tag-2.1.10,0,0,0,0,0,0,2011-05-26
tag-2.1.11,124,0,0.0,95,0,0.0,2011-05-26
tag-2.1.10.zucchini,159,0,0.0,161,0,0.0,2011-06-05
tag-2.2.6,838,0,0.0,261,0,0.0,2011-06-13
tag-2.2.7.RC1,52,0,0.0,7,0,0.0,2011-06-23
tag-2.2.7.RC2,11,0,0.0,8,0,0.0,2011-06-24
tag-2.2.7,143,0,0.0,210,0,0.0,2011-06-27
tag-2.2.8.RC1,37,0,0.0,77,0,0.0,2011-07-07
tag-2.2.8.RC2,75,0,0.0,98,0,0.0,2011-07-08
tag-2.2.8,262,0,0.0,482,0,0.0,2011-07-14
tag-2.2.9,1219,0,0.0,625,0,0.0,2011-08-04
tag-2.2.10,44,0,0.0,29,0,0.0,2011-08-29
tag-2.2.11,138,0,0.0,72,0,0.0,2011-08-31
tag-2.2.10-2,297,0,0.0,192,0,0.0,2011-09-09
tag-2.2.12-prerelease-1,90,0,0.0,18,0,0.0,2011-09-23
tag-2.2.12,0,0,0,0,0,0,2011-09-27
tag-2.2.12-prerelease-3,13,0,0.0,4,0,0.0,2011-09-27
tag-2.2.12-prerelease-2,881,0,0.0,546,0,0.0,2011-09-28
2.2.13-prerelease-1,111,0,0.0,25,0,0.0,2011-11-11
2.2.13-prerelease-2,80,0,0.0,17,0,0.0,2011-11-14
2.2.13-prerelease-3,31,0,0.0,4,0,0.0,2011-11-15
2.2.13-prerelease-4,10,0,0.0,17,0,0.0,2011-11-16
2.2.13-prerelease-5,5,0,0.0,8,0,0.0,2011-11-16
tag-2.2.13,328,0,0.0,459,0,0.0,2011-11-17
acton-beta1-prerelease-1,660,0,0.0,1254,0,0.0,2011-12-07
tag-2.2.14,0,0,0,0,0,0,2012-02-09
tag-2.2.14-RC2,75,0,0.0,36,0,0.0,2012-02-09
acton-prerelease-1,34,0,0.0,86,0,0.0,2012-02-12
acton-prerelease-2,39,0,0.0,57,0,0.0,2012-02-15
patch-13777/13375-fix,65,0,0.0,66,0,0.0,2012-02-17
acton-prerelease-3,56,0,0.0,66,0,0.0,2012-02-21
tag-Acton.RC1,15,0,0.0,21,0,0.0,2012-02-22
tag-Acton.RC2,6,0,0.0,13,0,0.0,2012-02-23
tag-Acton.RC3,37,0,0.0,13,0,0.0,2012-02-24
tag-Acton.RC4,172,0,0.0,93,0,0.0,2012-02-27
tag-Acton,0,0,0,0,0,0,2012-02-27
tag-2.2.14-P2,110,0,0.0,173,0,0.0,2012-03-06
