version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
apache-crunch-0.3.0-incubating,166,85,0.5120481927710844,71,21,0.29577464788732394,2012-09-07
apache-crunch-0.4.0-incubating,188,77,0.4095744680851064,66,27,0.4090909090909091,2012-11-04
apache-crunch-0.5.0-incubating,672,656,0.9761904761904762,39,19,0.48717948717948717,2013-02-12
apache-crunch-0.6.0,131,49,0.37404580152671757,40,22,0.55,2013-05-07
apache-crunch-0.7.0,0,0,0,0,0,0,2013-07-25
apache-crunch-0.7.0-hadoop2,190,124,0.6526315789473685,52,29,0.5576923076923077,2013-07-25
apache-crunch-0.8.0-hadoop2,0,0,0,0,0,0,2013-11-04
apache-crunch-0.8.0,1,0,0.0,1,0,0.0,2013-11-04
apache-crunch-0.8.1,0,0,0,0,0,0,2013-11-16
apache-crunch-0.8.1-hadoop2,155,10,0.06451612903225806,20,5,0.25,2013-11-16
apache-crunch-0.8.2,50,36,0.72,8,5,0.625,2013-12-12
apache-crunch-0.9.0,138,65,0.47101449275362317,78,41,0.5256410256410257,2014-01-02
apache-crunch-0.10.0,0,0,0,0,0,0,2014-06-02
apache-crunch-0.8.3,157,78,0.4968152866242038,49,29,0.5918367346938775,2014-06-02
apache-crunch-0.11.0-hadoop2,0,0,0,0,0,0,2014-08-27
apache-crunch-0.11.0,3,3,1.0,1,1,1.0,2014-08-27
apache-crunch-0.8.4,128,74,0.578125,47,30,0.6382978723404256,2014-09-04
apache-crunch-0.12.0,0,0,0,1,0,0.0,2015-05-09
ach25,97,65,0.6701030927835051,32,17,0.53125,2015-05-13
apache-crunch-0.13.0,93,36,0.3870967741935484,38,16,0.42105263157894735,2015-07-30
apache-crunch-0.14.0,82,40,0.4878048780487805,29,11,0.3793103448275862,2016-04-23
