version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
CSV_1.0_RC1,10,1,0.1,18,1,0.05555555555555555,2014-07-11
CSV_1.0_RC2,12,0,0.0,19,3,0.15789473684210525,2014-07-15
CSV_1.0_RC3,0,0,0,0,0,0,2014-08-10
CSV_1.0,13,1,0.07692307692307693,69,4,0.057971014492753624,2014-08-14
1.1-RC1,0,0,0,3,0,0.0,2014-11-16
1.1,2,0,0.0,2,0,0.0,2014-11-26
CSV_1.1,9,1,0.1111111111111111,34,2,0.058823529411764705,2014-11-27
csv-1.2-RC1,0,0,0,0,0,0,2015-08-20
csv-1.2-RC2,0,0,0,1,0,0.0,2015-08-21
csv-1.2,17,3,0.17647058823529413,73,5,0.0684931506849315,2015-08-25
csv-1.3-RC1,2,1,0.5,2,1,0.5,2016-05-06
csv-1.3,4,0,0.0,22,0,0.0,2016-05-09
csv-1.4-RC1,2,0,0.0,14,0,0.0,2016-05-23
csv-1.4-RC2,0,0,0,0,0,0,2016-05-25
csv-1.4,30,1,0.03333333333333333,94,5,0.05319148936170213,2016-05-29
csv-1.5,0,0,0,0,0,0,2017-08-27
