version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
ctakes-3.0.0-incubating-rc6,0,0,0,0,0,0,2013-03-27
ctakes-3.0.0-incubating-rc4,0,0,0,0,0,0,2013-03-27
ctakes-3.0.0-incubating-rc7,231,48,0.2077922077922078,324,25,0.07716049382716049,2013-03-27
ctakes-3.0.0-incubating-rc3,0,0,0,0,0,0,2013-03-27
ctakes-3.0.0-incubating-rc2,0,0,0,0,0,0,2013-03-27
cTAKES-2.0,0,0,0,0,0,0,2013-03-27
ctakes-3.0.0-incubating-rc5,0,0,0,0,0,0,2013-03-27
cTAKES-before-OpenNLP-1.5,0,0,0,0,0,0,2013-03-27
cTAKES_1.3.1,0,0,0,0,0,0,2013-03-27
ctakes-3.0.0-incubating-rc1,0,0,0,0,0,0,2013-03-27
cTAKES_1.0.5,0,0,0,0,0,0,2013-03-27
ctakes-3.0.0-incubating,0,0,0,0,0,0,2013-03-27
ctakes-3.1.0-RC1,10,0,0.0,11,0,0.0,2013-08-05
ctakes-3.1.0-rc1,29,1,0.034482758620689655,41,11,0.2682926829268293,2013-08-13
ctakes-3.1.0-rc2,10,0,0.0,5,0,0.0,2013-08-28
ctakes-3.1.0-rc3,2,0,0.0,3,0,0.0,2013-08-30
ctakes-3.1.0,26,5,0.19230769230769232,50,7,0.14,2013-09-04
ctakes-3.1.1-rc1,7,0,0.0,8,1,0.125,2013-11-18
ctakes-3.1.1,0,0,0,0,0,0,2013-11-27
ctakes-3.1.1-rc2,13,0,0.0,11,0,0.0,2013-11-29
multicorpus_negation_feda,651,5,0.007680491551459293,263,16,0.060836501901140684,2013-12-06
ctakes-3.2.0-rc1,8,0,0.0,2,0,0.0,2014-06-27
ctakes-3.2.0-rc2,397,311,0.783375314861461,163,17,0.10429447852760736,2014-07-08
ctakes-3.2.1-rc1,29,1,0.034482758620689655,20,4,0.2,2014-11-10
ctakes-3.2.1-rc2,127,7,0.05511811023622047,75,3,0.04,2014-11-25
ctakes-3.2.2-rc1,8,3,0.375,7,2,0.2857142857142857,2015-05-04
ctakes-3.2.2-rc2,883,32,0.0362400906002265,453,30,0.06622516556291391,2015-05-12
ctakes-4.0.0-rc1,47,1,0.02127659574468085,8,1,0.125,2017-04-11
ctakes-4.0.0-rc2,68,0,0.0,9,0,0.0,2017-04-14
ctakes-4.0.0-rc3,5,0,0.0,4,1,0.25,2017-04-17
ctakes-4.0.0,117,3,0.02564102564102564,100,4,0.04,2017-04-25
