version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
deltaspike-project-0.1-incubating,521,6,0.011516314779270634,135,3,0.022222222222222223,2012-02-02
deltaspike-project-0.2-incubating,512,181,0.353515625,261,73,0.2796934865900383,2012-04-15
deltaspike-project-0.3-incubating,552,71,0.1286231884057971,266,55,0.20676691729323307,2012-08-15
deltaspike-project-0.4,329,20,0.060790273556231005,83,16,0.1927710843373494,2013-05-28
deltaspike-project-0.5,467,87,0.18629550321199143,239,45,0.18828451882845187,2013-09-11
deltaspike-project-0.6,80,24,0.3,44,16,0.36363636363636365,2014-03-16
deltaspike-project-0.7,219,38,0.1735159817351598,65,20,0.3076923076923077,2014-04-30
deltaspike-project-1.0.0,53,23,0.4339622641509434,27,8,0.2962962962962963,2014-06-14
deltaspike-project-1.0.1,24,6,0.25,20,5,0.25,2014-07-13
deltaspike-project-1.0.2,45,15,0.3333333333333333,29,13,0.4482758620689655,2014-08-17
deltaspike-project-1.0.3,118,44,0.3728813559322034,54,25,0.46296296296296297,2014-09-21
deltaspike-project-1.1.0,91,11,0.12087912087912088,39,4,0.10256410256410256,2014-11-01
deltaspike-project-1.2.0,55,14,0.2545454545454545,39,7,0.1794871794871795,2014-11-30
deltaspike-project-1.2.1,151,46,0.304635761589404,86,23,0.26744186046511625,2014-12-20
deltaspike-root-1.3.0,163,35,0.2147239263803681,71,21,0.29577464788732394,2015-03-02
deltaspike-1.4.0,56,24,0.42857142857142855,35,11,0.3142857142857143,2015-05-18
deltaspike-1.4.1,39,6,0.15384615384615385,49,14,0.2857142857142857,2015-06-12
deltaspike-1.4.2,20,5,0.25,36,9,0.25,2015-07-19
deltaspike-1.5.0,64,11,0.171875,46,13,0.2826086956521739,2015-08-10
deltaspike-1.5.1,34,12,0.35294117647058826,30,7,0.23333333333333334,2015-10-24
deltaspike-1.5.2,183,25,0.1366120218579235,54,16,0.2962962962962963,2015-12-06
deltaspike-1.5.3,2,1,0.5,11,2,0.18181818181818182,2016-02-05
deltaspike-1.5.4,120,19,0.15833333333333333,40,6,0.15,2016-02-18
deltaspike-1.6.0,31,0,0.0,30,1,0.03333333333333333,2016-04-02
deltaspike-1.6.1,75,19,0.25333333333333335,67,18,0.26865671641791045,2016-04-23
deltaspike-1.7.0,52,16,0.3076923076923077,25,8,0.32,2016-06-09
deltaspike-1.7.1,36,11,0.3055555555555556,39,13,0.3333333333333333,2016-07-17
deltaspike-1.7.2,58,8,0.13793103448275862,68,8,0.11764705882352941,2016-11-01
deltaspike-1.8.0,147,43,0.2925170068027211,65,22,0.3384615384615385,2017-05-28
deltaspike-1.8.1,201,18,0.08955223880597014,81,16,0.19753086419753085,2017-12-30
