version_name,#files in version,#bugged files in version,bugged_ratio,version_date
1.0.1,3172,905,0.2853089533417402,2007-09-10
1.2.0-RC1,3362,504,0.14991076740035694,2008-10-21
1.4.0.v20090407,3691,95,0.02573828230831753,2009-10-19
1.5.0.v20091102,3707,32,0.008632317237658484,2009-11-05
1.5.1.v20091130,3720,9,0.0024193548387096775,2009-12-02
1.5.2.v20091211,3725,144,0.038657718120805366,2009-12-13
1.5.3.v20100330,3763,327,0.08689875099654532,2010-03-30
2.0.0.v20120111,2080,27,0.012980769230769231,2012-01-12
2.0.0.v20120127,2067,34,0.01644895984518626,2012-01-27
2.0.0.v20120224,2057,126,0.06125425376762275,2012-02-24
2.0.0.v20130125,1836,11,0.005991285403050109,2013-01-25
2.0.0.v20130131,1835,8,0.004359673024523161,2013-01-31
2.0.0.v20130308,1832,39,0.0212882096069869,2013-03-08
2.0.0.v20130517,1814,35,0.019294377067254686,2013-05-17
2.0.0.v20130628,1793,405,0.22587841606246514,2013-06-28
2.0.0.v20150606-M9,803,17,0.021170610211706103,2015-06-06
2.0.0.v20151221-M10,428,47,0.10981308411214953,2015-12-21
2.0.0.v20160717-M11,370,35,0.0945945945945946,2016-07-22
2.0.0.v20161101-M12,349,43,0.12320916905444126,2016-11-01
