version_name,#files in version,#bugged files in version,bugged_ratio,version_date
oscon_workshop,4842,1618,0.33415943824865757,2013-07-21
drill-root-1.0.0-m1,4675,11,0.002352941176470588,2013-09-04
drill-1.0.0-m1,4675,1946,0.4162566844919786,2013-09-06
drill-root-0.4.0-incubating,4478,229,0.051138901295221084,2014-07-30
0.5.0-incubating,4452,1089,0.24460916442048516,2014-09-02
0.6.0-incubating,4379,1274,0.29093400319707696,2014-10-02
archive/DRILL-2167,4163,639,0.1534950756665866,2015-04-07
0.9.0,4127,868,0.21032226799127696,2015-04-29
drill-1.1.0,3998,29,0.007253626813406703,2015-07-01
archive/DRILL-3450,3996,1348,0.33733733733733734,2015-07-07
