version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
apache-empire-struts2-ext-1.0.3-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating-rc4,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating-rc5,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.6-incubating-rc2,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.6-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating-rc6,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.6-incubating-rc1,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.7-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.7-incubating-rc1,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.6-incubating-rc3,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.6-incubating-rc4,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.1.0-incubating,0,0,0,0,0,0,2012-02-11
PreAutoGenerateChange,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.1.0-incubating-rc1,0,0,0,0,0,0,2012-02-11
pre-maven,84,9,0.10714285714285714,36,4,0.1111111111111111,2012-02-11
apache-empire-db-2.2.0-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-struts2-ext-1.0.4-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.3-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.2.0-incubating-rc1,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.7-incubating-rc2,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating-rc3-nonjava5,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.4-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating-rc2-failed,0,0,0,0,0,0,2012-02-11
apache-empire-db-2.0.5-incubating-rc1-failed,0,0,0,0,0,0,2012-02-11
empire-db-parent-2.3.0,127,9,0.07086614173228346,72,4,0.05555555555555555,2012-03-19
apache-empire-db-2.4.0-rc1,0,0,0,4,0,0.0,2012-07-31
apache-empire-db-2.4.0-rc2,1,0,0.0,2,0,0.0,2012-07-31
apache-empire-db-2.4.0,80,18,0.225,76,12,0.15789473684210525,2012-08-07
apache-empire-db-2.4.1-rc1,0,0,0,4,0,0.0,2012-10-23
apache-empire-db-2.4.1-rc2,0,0,0,1,0,0.0,2012-10-25
apache-empire-db-2.4.1,52,14,0.2692307692307692,42,10,0.23809523809523808,2012-10-30
apache-empire-db-2.4.2-rc1,1,0,0.0,2,0,0.0,2013-10-03
apache-empire-db-2.4.2,39,4,0.10256410256410256,13,6,0.46153846153846156,2013-10-15
apache-empire-db-2.4.3-rc1,0,0,0,1,0,0.0,2014-07-30
apache-empire-db-2.4.3,42,12,0.2857142857142857,36,13,0.3611111111111111,2014-08-17
apache-empire-db-2.4.4-rc1,168,21,0.125,78,20,0.2564102564102564,2015-08-11
apache-empire-db-2.4.5-rc1,6,3,0.5,13,3,0.23076923076923078,2016-11-09
apache-empire-db-2.4.6-rc1,0,0,0,4,0,0.0,2017-01-05
apache-empire-db-2.4.6,0,0,0,0,0,0,2017-01-09
