version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
fediz-1.0.0,9,0,0.0,24,0,0.0,2012-06-20
fediz-1.0.1,14,0,0.0,16,0,0.0,2012-08-24
fediz-1.0.2,69,0,0.0,66,0,0.0,2012-10-30
fediz-1.0.3,154,0,0.0,115,0,0.0,2013-02-18
fediz-1.1.0,154,0,0.0,66,0,0.0,2013-11-04
fediz-1.1.1,0,0,0,0,0,0,2014-06-10
fediz-1.0.4,145,0,0.0,97,0,0.0,2014-06-11
fediz-1.1.2,103,0,0.0,101,0,0.0,2014-10-17
fediz-1.2.0,92,0,0.0,46,0,0.0,2015-04-24
fediz-1.2.1,0,0,0,0,0,0,2015-08-05
fediz-1.1.3,173,0,0.0,253,0,0.0,2015-08-06
fediz-1.2.2,61,0,0.0,87,0,0.0,2016-02-10
fediz-1.3.0,83,5,0.060240963855421686,88,2,0.022727272727272728,2016-03-27
fediz-1.3.1,0,0,0,3,0,0.0,2016-08-08
fediz-1.2.3,531,6,0.011299435028248588,230,6,0.02608695652173913,2016-09-02
fediz-1.3.2,0,0,0,0,0,0,2017-04-21
fediz-1.2.4,1,0,0.0,3,0,0.0,2017-04-21
fediz-1.4.0,126,0,0.0,63,2,0.031746031746031744,2017-04-25
fediz-1.4.1,24,0,0.0,13,0,0.0,2017-08-14
fediz-1.4.2,65,5,0.07692307692307693,32,3,0.09375,2017-09-12
fediz-1.4.3,0,0,0,0,0,0,2017-11-23
fediz-1.3.3,80,0,0.0,47,0,0.0,2017-11-23
