version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
STRUTS_1_1_RC1,0,0,0,0,0,0,2007-07-29
STRUTS_1_1_B2,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_1_1_RC1,0,0,0,0,0,0,2007-07-29
commons-fileupload-1.2rc2,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_1_RC1,0,0,0,0,0,0,2007-07-29
commons-fileupload-1.2,0,0,0,0,0,0,2007-07-29
commons-fileupload-1.2rc3,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_1_RC2,0,0,0,0,0,0,2007-07-29
commons-fileupload-1.2rc4,16,4,0.25,28,2,0.07142857142857142,2007-07-29
FILEUPLOAD_1_0,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_0_B1,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_1_1,0,0,0,0,0,0,2007-07-29
STRUTS_1_1_B3,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_1,0,0,0,0,0,0,2007-07-29
FILEUPLOAD_1_0_RC1,0,0,0,0,0,0,2007-07-29
commons-fileupload-1.2.1rc1,0,0,0,0,0,0,2008-01-01
commons-fileupload-1.2.1rc2,0,0,0,1,1,1.0,2008-01-01
commons-fileupload-1.2.1rc3,0,0,0,2,1,0.5,2008-01-10
commons-fileupload-1.2.1rc4,0,0,0,0,0,0,2008-01-18
commons-fileupload-1.2.1,12,2,0.16666666666666666,55,14,0.2545454545454545,2008-02-16
commons-fileupload-1.2.2,106,5,0.04716981132075472,187,6,0.03208556149732621,2010-07-14
FILEUPLOAD_1_3_RC1,28,6,0.21428571428571427,158,12,0.0759493670886076,2013-03-09
FILEUPLOAD_1_3_RC2,1,0,0.0,10,0,0.0,2013-03-24
FILEUPLOAD_1_3,19,2,0.10526315789473684,45,3,0.06666666666666667,2013-03-27
FILEUPLOAD_1_3_1_RC1,0,0,0,0,0,0,2014-02-06
FILEUPLOAD_1_3_1,10,2,0.2,54,9,0.16666666666666666,2014-02-07
FILEUPLOAD_1_3_2_RC1,0,0,0,0,0,0,2016-05-23
commons-fileupload-1.3.2,0,0,0,0,0,0,2016-05-24
commons-fileupload-1.3.2RC1,0,0,0,2,0,0.0,2016-05-24
FILEUPLOAD_1_3_2,8,0,0.0,22,0,0.0,2016-05-26
commons-fileupload-1.3.3-RC1,0,0,0,0,0,0,2016-12-03
commons-fileupload-1.3.3-RC2,0,0,0,0,0,0,2016-12-03
commons-fileupload-1.3.3-RC3,0,0,0,0,0,0,2016-12-03
commons-fileupload-1.3.3-RC4,0,0,0,6,1,0.16666666666666666,2016-12-04
commons-fileupload-1.3.3-RC5,0,0,0,2,0,0.0,2017-06-06
commons-fileupload-1.3.3,0,0,0,0,0,0,2017-06-09
