version_name,#files in version,#bugged files in version,version_date
v0.4-rc1,7742,4,2013-12-20
release-0.4,7743,478,2014-01-10
release-0.5-rc2,8169,1,2014-05-22
release-0.5,8172,139,2014-05-29
pre-apache-rename,8171,3580,2014-07-09
release-0.6,7581,381,2014-08-15
release-0.7.0,7678,301,2014-10-18
release-0.8.0,7723,460,2015-01-15
release-0.8.1,7732,1433,2015-02-16
release-0.9.0,7550,960,2015-06-18
release-0.9.1,7578,1174,2015-08-27
release-0.10.0,7136,71,2015-11-10
release-0.10.1,7134,1037,2015-11-22
release-0.10.2,7137,625,2016-02-03
release-1.0.0,6581,180,2016-03-03
release-1.0.1,6583,237,2016-03-31
release-1.0.2,6583,236,2016-04-18
release-1.0.3,6583,1013,2016-05-06
release-1.1.0,6437,11,2016-08-02
release-1.1.1,6437,217,2016-08-09
release-1.1.2,6434,457,2016-08-30
release-1.1.3,6437,315,2016-10-10
release-1.1.4,6416,342,2016-12-19
release-1.2.0,6042,477,2017-01-29
release-1.1.5,6415,125,2017-03-17
release-1.2.1,6036,668,2017-04-11
release-1.3.0,5723,14,2017-05-26
release-1.3.1,5701,547,2017-06-20
release-1.3.2-rc2,5681,12,2017-07-29
release-1.3.2-rc3,5681,646,2017-08-03
release-1.4.0-rc1,3387,17,2017-11-23
release-1.4.0-rc2,3371,43,2017-11-27
release-1.4.0-rc3,3340,405,2017-12-06
release-1.4.1-rc1,3257,113,2018-02-09
release-1.4.2-rc1,3257,0,2018-02-27
release-1.4.2-rc2,3254,17,2018-02-28
release-1.3.3,5680,161,2018-03-14
release-1.5.0-rc1,1698,111,2018-04-02
release-1.5.0-rc2,1440,2,2018-05-10
release-1.5.0-rc3,1391,8,2018-05-15
release-1.5.0-rc5,1297,6,2018-05-23
release-1.5.0-rc6,1282,49,2018-05-24
release-1.5.1-rc1,1198,93,2018-07-05
release-1.5.1-rc3,1195,62,2018-07-10
release-1.5.2-rc1,1137,1,2018-07-24
release-1.5.2-rc2,1135,1,2018-07-25
