version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
release-0.18.1,0,0,0,0,0,0,2009-06-22
release-0.3.2,0,0,0,0,0,0,2009-06-22
release-0.16.0,0,0,0,0,0,0,2009-06-22
release-0.14.1,0,0,0,0,0,0,2009-06-22
release-0.1.0,0,0,0,0,0,0,2009-06-22
release-0.12.3,0,0,0,0,0,0,2009-06-22
release-0.10.1,0,0,0,0,0,0,2009-06-22
release-0.13.1,0,0,0,0,0,0,2009-06-22
release-0.15.1,0,0,0,0,0,0,2009-06-22
release-0.14.0,0,0,0,0,0,0,2009-06-22
release-0.12.1,0,0,0,0,0,0,2009-06-22
release-0.7.1,0,0,0,0,0,0,2009-06-22
release-0.15.0,0,0,0,0,0,0,2009-06-22
release-0.17.2,0,0,0,0,0,0,2009-06-22
release-0.5.0,0,0,0,0,0,0,2009-06-22
release-0.18.2,0,0,0,0,0,0,2009-06-22
release-0.13.0,0,0,0,0,0,0,2009-06-22
release-0.17.0,0,0,0,0,0,0,2009-06-22
release-0.19.0,0,0,0,0,0,0,2009-06-22
release-0.19.1,0,0,0,0,0,0,2009-06-22
release-0.1.1,0,0,0,0,0,0,2009-06-22
release-0.16.1,0,0,0,0,0,0,2009-06-22
release-0.16.3,0,0,0,0,0,0,2009-06-22
release-0.11.0,0,0,0,0,0,0,2009-06-22
release-0.10.0,0,0,0,0,0,0,2009-06-22
release-0.17.1,0,0,0,0,0,0,2009-06-22
release-0.15.2,0,0,0,0,0,0,2009-06-22
release-0.14.2,0,0,0,0,0,0,2009-06-22
release-0.16.4,0,0,0,0,0,0,2009-06-22
release-0.2.0,0,0,0,0,0,0,2009-06-22
release-0.14.3,0,0,0,0,0,0,2009-06-22
release-0.3.1,0,0,0,0,0,0,2009-06-22
release-0.11.2,0,0,0,0,0,0,2009-06-22
release-0.3.0,0,0,0,0,0,0,2009-06-22
release-0.16.2,0,0,0,0,0,0,2009-06-22
release-0.11.1,0,0,0,0,0,0,2009-06-22
release-0.9.0,0,0,0,0,0,0,2009-06-22
release-0.18.0,0,0,0,0,0,0,2009-06-22
release-0.7.0,0,0,0,0,0,0,2009-06-22
release-0.15.3,0,0,0,0,0,0,2009-06-22
release-0.9.1,0,0,0,0,0,0,2009-06-22
release-0.18.3,0,0,0,0,0,0,2009-06-22
release-0.2.1,0,0,0,0,0,0,2009-06-22
release-0.12.0,0,0,0,0,0,0,2009-06-22
release-0.6.0,0,0,0,0,0,0,2009-06-22
release-0.6.2,0,0,0,0,0,0,2009-06-22
release-0.6.1,0,0,0,0,0,0,2009-06-22
release-0.8.0,0,0,0,0,0,0,2009-06-22
release-0.9.2,204,0,0.0,44,0,0.0,2009-06-22
release-0.20.0,0,0,0,0,0,0,2009-06-22
release-0.4.0,0,0,0,0,0,0,2009-06-22
release-0.14.4,0,0,0,0,0,0,2009-06-22
release-0.19.2-rc0,262,0,0.0,109,2,0.01834862385321101,2009-06-30
release-0.19.2,465,48,0.1032258064516129,173,7,0.04046242774566474,2009-07-23
release-0.20.1-rc0,28,0,0.0,12,0,0.0,2009-08-28
release-0.20.1-rc1,184,0,0.0,51,0,0.0,2009-09-01
release-0.20.1,1352,55,0.040680473372781065,620,26,0.041935483870967745,2009-09-08
release-0.20.2-rc1,44,0,0.0,22,0,0.0,2010-02-10
release-0.20.2-rc2,69,0,0.0,10,0,0.0,2010-02-16
release-0.20.2-rc3,2,0,0.0,1,0,0.0,2010-02-18
release-0.20.2-rc4,100,0,0.0,24,0,0.0,2010-02-19
release-0.20.2,1542,17,0.011024643320363165,421,11,0.026128266033254157,2010-02-26
