version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
release-0.0.0-rc0,2,0,0.0,2,1,0.5,2011-06-13
release-0.1.0-rc0,21,18,0.8571428571428571,8,5,0.625,2011-06-16
release-0.1.0-rc1,36,0,0.0,8,0,0.0,2011-07-12
0.2-beta,2,2,1.0,1,1,1.0,2011-08-01
release-0.1-rc2,34,7,0.20588235294117646,16,10,0.625,2011-08-09
release-0.2.0-rc0,0,0,0,0,0,0,2011-09-20
release-0.2.0-rc1,25,0,0.0,11,2,0.18181818181818182,2011-09-22
release-0.2.0,102,32,0.3137254901960784,60,34,0.5666666666666667,2011-09-30
0.3-preview,18,1,0.05555555555555555,6,1,0.16666666666666666,2012-01-16
release-0.3.0-rc0,232,50,0.21551724137931033,70,28,0.4,2012-01-24
release-0.4.0-rc0,36,15,0.4166666666666667,11,4,0.36363636363636365,2012-03-15
release-0.4.0-rc1,57,12,0.21052631578947367,8,4,0.5,2012-03-22
release-0.4.0-rc2,14,5,0.35714285714285715,11,4,0.36363636363636365,2012-03-30
release-0.4.0-rc3,25,18,0.72,15,10,0.6666666666666666,2012-04-12
release-0.4.0-rc4,24,0,0.0,5,1,0.2,2012-05-01
release-0.4.0-rc5,4,0,0.0,2,1,0.5,2012-05-01
release-0.4.0-rc6,8,8,1.0,5,3,0.6,2012-05-07
release-0.4.0,472,363,0.7690677966101694,139,86,0.6187050359712231,2012-05-17
release-0.5.0-rc0,0,0,0,1,1,1.0,2013-01-18
release-0.5.0-rc1,1,1,1.0,5,4,0.8,2013-01-23
release-0.5.0-rc2,0,0,0,0,0,0,2013-01-30
release-0.5.0-rc3,0,0,0,1,1,1.0,2013-01-30
