version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
release-1.0.0-RC1,7912,659,0.08329120323559151,214,31,0.14485981308411214,2015-03-03
release-1.0.0-RC2,1991,1506,0.7564038171772979,470,76,0.16170212765957448,2015-03-05
release-1.0.0-RC3,3737,2561,0.6853090714476853,1061,120,0.11310084825636192,2015-03-14
ignite-1.0.0,2607,633,0.2428078250863061,630,149,0.2365079365079365,2015-03-28
ignite-1.0.1,515,105,0.20388349514563106,80,26,0.325,2015-04-12
ignite-1.0.2,1181,683,0.5783234546994073,665,240,0.3609022556390977,2015-04-13
ignite-1.1.0-incubating-rc1,13,11,0.8461538461538461,6,2,0.3333333333333333,2015-05-07
ignite-1.1.0-incubating-rc2,156,98,0.6282051282051282,47,20,0.425531914893617,2015-05-07
ignite-1.1.0-incubating-rc3,436,17,0.0389908256880734,33,6,0.18181818181818182,2015-05-08
ignite-1.1.0-incubating-rc4,570,565,0.9912280701754386,5,3,0.6,2015-05-12
ignite-1.1.0-incubating-rc5,378,152,0.4021164021164021,177,30,0.1694915254237288,2015-05-12
ignite-1.1.0-incubating-rc6,187,38,0.20320855614973263,35,8,0.22857142857142856,2015-05-19
ignite-1.1.0-incubating,0,0,0,0,0,0,2015-05-20
ignite-1.1.0-incubating-rc7,324,252,0.7777777777777778,112,20,0.17857142857142858,2015-05-20
ignite-1.0.6-incubating,1545,658,0.42588996763754045,412,80,0.1941747572815534,2015-05-26
ignite-1.2.0-incubating-rc1,480,80,0.16666666666666666,56,14,0.25,2015-06-12
ignite-1.2.0-incubating-rc2,158,103,0.6518987341772152,54,22,0.4074074074074074,2015-06-16
ignite-1.2.0-incubating,0,0,0,0,0,0,2015-06-16
1.1.3,76,38,0.5,54,11,0.2037037037037037,2015-06-18
1.1.4,956,273,0.28556485355648537,242,76,0.3140495867768595,2015-06-22
ignite-1.3.0-incubating-rc1,0,0,0,1,0,0.0,2015-07-10
ignite-1.3.0-incubating-rc2,104,102,0.9807692307692307,24,11,0.4583333333333333,2015-07-10
ignite-1.3.0-incubating,0,0,0,0,0,0,2015-07-10
1.3.1,998,12,0.012024048096192385,29,7,0.2413793103448276,2015-07-14
1.3.2,563,496,0.8809946714031972,98,24,0.24489795918367346,2015-07-17
1.3.3-rc1,90,49,0.5444444444444444,53,25,0.4716981132075472,2015-07-27
1.3.3,112,112,1.0,51,19,0.37254901960784315,2015-08-03
1.3.3-p1,75,30,0.4,24,7,0.2916666666666667,2015-08-11
1.3.3-p2,114,63,0.5526315789473685,50,17,0.34,2015-08-14
1.3.3-p3,112,3,0.026785714285714284,17,2,0.11764705882352941,2015-08-21
1.3.3-p4,25,6,0.24,8,1,0.125,2015-08-24
1.3.2-p2,163,0,0.0,8,0,0.0,2015-08-24
1.3.3-p5,254,132,0.5196850393700787,63,5,0.07936507936507936,2015-08-25
1.3.3-p6,4804,356,0.07410491257285595,409,80,0.19559902200489,2015-08-28
ignite-1.4.0-rc1,5,0,0.0,13,0,0.0,2015-09-24
1.4.0,0,0,0,0,0,0,2015-09-24
1.4.1,1478,579,0.39174560216508797,577,108,0.18717504332755633,2015-09-25
1.5.0-b1,0,0,0,0,0,0,2015-12-01
ignite-1.5.0-b1-rc1,903,724,0.8017718715393134,288,100,0.3472222222222222,2015-12-01
1.5.0.final-rc1,32,1,0.03125,16,3,0.1875,2015-12-25
1.5.0.final-rc2,6,5,0.8333333333333334,4,2,0.5,2015-12-28
1.5.0.final-rc3,1459,760,0.520904729266621,765,175,0.22875816993464052,2015-12-29
1.5.0.final,0,0,0,0,0,0,2015-12-29
ignite-db-proto-1,1402,124,0.0884450784593438,223,28,0.12556053811659193,2016-04-30
1.6.0,0,0,0,0,0,0,2016-05-18
1.6.0-rc1,1179,292,0.24766751484308736,688,135,0.19622093023255813,2016-05-18
