version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
rel/isis-0.1.2-incubating,0,0,0,0,0,0,2012-11-07
rel/isis-0.2.0-incubating,16043,21,0.001308982110577822,130,4,0.03076923076923077,2012-11-07
rel/isis-objectstore-jdo-1.0.0,0,0,0,3,0,0.0,2012-12-20
rel/isis-security-file-1.0.0,0,0,0,4,0,0.0,2012-12-20
rel/isis-viewer-wicket-1.0.0,0,0,0,3,0,0.0,2012-12-20
rel/isis-viewer-restfulobjects-1.0.0,2,0,0.0,4,0,0.0,2012-12-20
rel/isis-1.0.0,2,0,0.0,4,0,0.0,2012-12-20
rel/quickstart_wicket_restful_jdo-archetype-1.0.0,58,0,0.0,23,0,0.0,2012-12-20
rel/isis-security-shiro-1.0.0,11,0,0.0,4,0,0.0,2013-01-07
rel/quickstart_wicket_restful_jdo-archetype-1.0.1,112,21,0.1875,32,8,0.25,2013-01-07
rel/isis-1.1.0,5,0,0.0,3,0,0.0,2013-01-27
rel/isis-security-shiro-1.1.0,3,0,0.0,4,0,0.0,2013-01-27
rel/isis-viewer-wicket-1.1.0,2,0,0.0,4,0,0.0,2013-01-27
rel/quickstart_wicket_restful_jdo-archetype-1.0.2,2241,65,0.02900490852298081,180,18,0.1,2013-01-27
rel/isis-1.2.0,1,0,0.0,3,0,0.0,2013-05-25
rel/isis-objectstore-jdo-1.1.0,0,0,0,3,0,0.0,2013-05-25
rel/isis-viewer-wicket-1.2.0,0,0,0,3,0,0.0,2013-05-25
rel/isis-viewer-restfulobjects-2.0.0,0,0,0,3,0,0.0,2013-05-26
rel/isis-security-shiro-1.1.1,0,0,0,3,0,0.0,2013-05-26
rel/isis-security-file-1.0.1,32,0,0.0,5,0,0.0,2013-05-26
rel/quickstart_wicket_restful_jdo-archetype-1.0.3,1881,116,0.06166932482721956,208,32,0.15384615384615385,2013-05-27
rel/isis-1.3.0,1,0,0.0,3,0,0.0,2013-10-20
rel/isis-objectstore-jdo-1.3.0,0,0,0,3,0,0.0,2013-10-20
rel/isis-viewer-wicket-1.3.0,0,0,0,3,0,0.0,2013-10-20
rel/isis-viewer-restfulobjects-2.1.0,0,0,0,3,0,0.0,2013-10-21
rel/isis-security-shiro-1.3.0,71,0,0.0,3,0,0.0,2013-10-21
rel/quickstart_wicket_restful_jdo-archetype-1.3.0,23,0,0.0,3,0,0.0,2013-10-22
rel/simple_wicket_restful_jdo-archetype-1.3.0,801,92,0.11485642946317104,208,33,0.15865384615384615,2013-10-22
rel/isis-1.4.0,1,0,0.0,3,0,0.0,2014-03-06
rel/isis-objectstore-jdo-1.4.0,0,0,0,3,0,0.0,2014-03-06
rel/isis-viewer-wicket-1.4.0,0,0,0,3,0,0.0,2014-03-06
rel/isis-security-shiro-1.4.0,0,0,0,3,0,0.0,2014-03-06
rel/isis-security-file-1.4.0,0,0,0,3,0,0.0,2014-03-06
rel/isis-viewer-restfulobjects-2.2.0,126,0,0.0,8,0,0.0,2014-03-06
rel/quickstart_wicket_restful_jdo-archetype-1.4.0,0,0,0,2,0,0.0,2014-03-06
rel/simple_wicket_restful_jdo-archetype-1.4.0,11,3,0.2727272727272727,9,2,0.2222222222222222,2014-03-06
rel/isis-objectstore-jdo-1.4.1,0,0,0,2,0,0.0,2014-03-10
rel/isis-viewer-wicket-1.4.1,0,0,0,4,0,0.0,2014-03-10
rel/simple_wicket_restful_jdo-archetype-1.4.1,0,0,0,2,0,0.0,2014-03-10
rel/quickstart_wicket_restful_jdo-archetype-1.4.1,824,68,0.0825242718446602,129,19,0.14728682170542637,2014-03-10
rel/isis-1.5.0,1,0,0.0,3,0,0.0,2014-06-02
rel/isis-objectstore-jdo-1.5.0,0,0,0,4,0,0.0,2014-06-02
rel/isis-viewer-wicket-1.5.0,0,0,0,3,0,0.0,2014-06-02
rel/isis-security-shiro-1.5.0,1,0,0.0,4,0,0.0,2014-06-02
rel/isis-viewer-restfulobjects-2.3.0,63,0,0.0,12,0,0.0,2014-06-02
rel/simple_wicket_restful_jdo-archetype-1.5.0,0,0,0,2,0,0.0,2014-06-06
rel/quickstart_wicket_restful_jdo-archetype-1.5.0,6856,815,0.11887397899649942,77,13,0.16883116883116883,2014-06-06
rel/isis-1.6.0,1,0,0.0,3,0,0.0,2014-07-25
rel/isis-viewer-wicket-1.6.0,6,0,0.0,4,0,0.0,2014-07-25
rel/simpleapp-archetype-1.6.0,47,0,0.0,3,0,0.0,2014-07-25
rel/todoapp-archetype-1.6.0,612,78,0.12745098039215685,90,21,0.23333333333333334,2014-07-25
rel/isis-viewer-wicket-1.7.0,12,0,0.0,4,0,0.0,2014-10-13
rel/simpleapp-archetype-1.7.0,32,0,0.0,5,0,0.0,2014-10-14
rel/todoapp-archetype-1.7.0,168,0,0.0,103,0,0.0,2014-10-14
rel/isis-1.7.0,4779,82,0.0171584013391923,687,29,0.042212518195050945,2014-10-15
rel/isis-1.8.0,0,0,0,8,0,0.0,2015-02-20
