version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
JCS_1_3_3_3,0,0,0,0,0,0,2011-07-24
jcs-1_2_2-dev,0,0,0,0,0,0,2011-07-24
JCS_1_3_3_5,0,0,0,0,0,0,2011-07-24
jcs_130_candidate,0,0,0,0,0,0,2011-07-24
jcs_1_2_7_9,0,0,0,0,0,0,2011-07-24
JCS_1_2_6_4,0,0,0,0,0,0,2011-07-24
jcs_1_2_7_3,0,0,0,0,0,0,2011-07-24
JCS_1_3_2_3,0,0,0,0,0,0,2011-07-24
jcs_1_2_5_dev,0,0,0,0,0,0,2011-07-24
jcs_1_1_dev,0,0,0,0,0,0,2011-07-24
JCS_1_3_2_5,0,0,0,0,0,0,2011-07-24
JCS_1_3_2_6,0,0,0,0,0,0,2011-07-24
jcs_1_3_1_0,0,0,0,0,0,0,2011-07-24
JCS_1_2_6_5,0,0,0,0,0,0,2011-07-24
JCS_1_3_3_1,0,0,0,0,0,0,2011-07-24
jcs-1_2_3-dev,0,0,0,0,0,0,2011-07-24
JCS_1_3_3_2,0,0,0,0,0,0,2011-07-24
1.2.6.6,0,0,0,0,0,0,2011-07-24
JCS_1_3_2_7,0,0,0,0,0,0,2011-07-24
jcs_dev1_1_1,0,0,0,0,0,0,2011-07-24
JCS_1_0,0,0,0,0,0,0,2011-07-24
JCS_1_3,0,0,0,0,0,0,2011-07-24
JCS_1_3_2_8,0,0,0,0,0,0,2011-07-24
jcs_1_2_4_dev,0,0,0,0,0,0,2011-07-24
JCS_1_3_3_0,0,0,0,0,0,0,2011-07-24
jcs_1_2_7_9_2,0,0,0,0,0,0,2011-07-24
jcs_dev1_1_1b,2875,319,0.11095652173913044,404,51,0.12623762376237624,2011-07-24
jcs_1_2_7_0,0,0,0,0,0,0,2011-07-24
jcs-1_1_2-dev,0,0,0,0,0,0,2011-07-24
JCS_1_3_3_4,0,0,0,0,0,0,2011-07-24
jcs_1_2_7_8,0,0,0,0,0,0,2011-07-24
JCS_1_3_2_4,0,0,0,0,0,0,2011-07-24
commons-jcs-2.0-alpha-1,0,0,0,6,0,0.0,2014-11-03
commons-jcs-2.0-RC1,12,4,0.3333333333333333,34,8,0.23529411764705882,2014-11-11
commons-jcs-2.0-beta-1,280,95,0.3392857142857143,144,27,0.1875,2015-02-19
commons-jcs-2.0-beta-2,19,2,0.10526315789473684,21,2,0.09523809523809523,2016-11-01
commons-jcs-2.0,30,3,0.1,43,3,0.06976744186046512,2016-12-25
commons-jcs-2.1,22,17,0.7727272727272727,23,7,0.30434782608695654,2017-02-05
commons-jcs-2.2,35,10,0.2857142857142857,14,5,0.35714285714285715,2017-08-02
commons-jcs-2.2.1,0,0,0,0,0,0,2017-10-22
commons-jcs-2.2.1-RC2,0,0,0,0,0,0,2017-11-06
