version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
juddi-3.0.0.beta,0,0,0,0,0,0,2010-10-08
juddi-3.0.3,2,1,0.5,20,2,0.1,2010-10-08
juddi-0_9rc4,0,0,0,0,0,0,2010-10-08
juddi-2.0rc6,0,0,0,0,0,0,2010-10-08
juddi-3.0.0.rc1,0,0,0,0,0,0,2010-10-08
juddi-2.0.1,0,0,0,0,0,0,2010-10-08
juddi-0_9rc2,0,0,0,0,0,0,2010-10-08
juddi-0_9rc3,0,0,0,0,0,0,2010-10-08
juddi-3.0.2,0,0,0,0,0,0,2010-10-08
juddi-0_9rc1,0,0,0,0,0,0,2010-10-08
juddi-2.0.0,0,0,0,0,0,0,2010-10-08
juddi-3.0.1,0,0,0,0,0,0,2010-10-08
juddi-3.0.0,0,0,0,0,0,0,2010-10-08
juddi-3.0.0.alpha,0,0,0,0,0,0,2010-10-08
juddi-2.0rc5,0,0,0,0,0,0,2010-10-08
juddi-2.0rc7,0,0,0,0,0,0,2010-10-08
juddi-3.0.4,206,45,0.21844660194174756,188,40,0.2127659574468085,2010-11-03
juddi-3.1.0,60,6,0.1,37,7,0.1891891891891892,2011-06-23
juddi-3.1.1,16,15,0.9375,12,5,0.4166666666666667,2011-09-15
juddi-3.1.2,11,3,0.2727272727272727,13,2,0.15384615384615385,2011-09-30
juddi-3.1.3,35,4,0.11428571428571428,19,8,0.42105263157894735,2012-01-25
juddi-3.1.4,306,121,0.3954248366013072,150,22,0.14666666666666667,2012-11-27
juddi-3.1.5,783,485,0.6194125159642401,454,166,0.3656387665198238,2013-05-15
juddi-3.2.0,280,64,0.22857142857142856,105,41,0.3904761904761905,2014-02-04
juddi-3.2.1,479,171,0.3569937369519833,84,36,0.42857142857142855,2014-12-02
juddi-parent-3.3.0,7,0,0.0,6,2,0.3333333333333333,2015-07-09
juddi-parent-3.3.1,21,21,1.0,13,7,0.5384615384615384,2015-09-29
juddi-parent-3.3.2,16,15,0.9375,29,16,0.5517241379310345,2015-11-08
juddi-3.3.3,2,2,1.0,17,4,0.23529411764705882,2016-09-11
juddi-3.3.4,209,199,0.9521531100478469,61,21,0.3442622950819672,2017-02-04
