version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
maven-assembly-plugin-2.0,316,40,0.12658227848101267,259,29,0.11196911196911197,2005-10-15
maven-assembly-plugin-2.1,0,0,0,0,0,0,2007-04-21
maven-assembly-plugin-2.2-beta-1,387,21,0.05426356589147287,83,4,0.04819277108433735,2007-04-22
maven-assembly-plugin-2.2-beta-2,90,34,0.37777777777777777,72,9,0.125,2008-02-21
maven-assembly-plugin-2.2-beta-3,18,0,0.0,15,3,0.2,2008-12-17
maven-assembly-plugin-2.2-beta-4,40,30,0.75,21,2,0.09523809523809523,2009-06-01
maven-assembly-plugin-2.2-beta-5,148,3,0.02027027027027027,72,4,0.05555555555555555,2009-12-06
maven-assembly-plugin-2.2,15,2,0.13333333333333333,40,3,0.075,2010-10-07
maven-assembly-plugin-2.2.1,26,1,0.038461538461538464,15,3,0.2,2011-02-24
maven-assembly-plugin-2.2.2,3,0,0.0,11,0,0.0,2011-11-29
maven-assembly-plugin-2.3,31,11,0.3548387096774194,49,3,0.061224489795918366,2012-01-24
maven-assembly-plugin-2.4,60,15,0.25,44,4,0.09090909090909091,2012-11-14
maven-assembly-plugin-2.4.1,318,6,0.018867924528301886,70,2,0.02857142857142857,2014-07-30
maven-assembly-plugin-2.5,64,6,0.09375,23,2,0.08695652173913043,2014-10-23
maven-assembly-plugin-2.5.1,76,7,0.09210526315789473,41,4,0.0975609756097561,2014-11-04
maven-assembly-plugin-2.5.2,42,2,0.047619047619047616,23,2,0.08695652173913043,2014-11-14
maven-assembly-plugin-2.5.3,15,0,0.0,35,0,0.0,2014-12-13
maven-assembly-plugin-2.5.4,13,0,0.0,7,1,0.14285714285714285,2015-04-23
maven-assembly-plugin-2.5.5,234,2,0.008547008547008548,27,3,0.1111111111111111,2015-05-31
maven-assembly-plugin-2.6,41,2,0.04878048780487805,95,5,0.05263157894736842,2015-10-06
maven-assembly-plugin-3.0.0,8,4,0.5,28,5,0.17857142857142858,2016-11-09
