version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
maven-changes-plugin-2.0-beta-2,23,2,0.08695652173913043,52,3,0.057692307692307696,2006-09-24
maven-changes-plugin-2.0-beta-3,16,0,0.0,42,0,0.0,2007-10-20
maven-changes-plugin-2.0,28,3,0.10714285714285714,83,6,0.07228915662650602,2008-04-13
maven-changes-plugin-2.1,12,0,0.0,76,0,0.0,2008-11-18
maven-changes-plugin-2.2,7,0,0.0,13,0,0.0,2009-11-20
maven-changes-plugin-2.3,37,4,0.10810810810810811,123,1,0.008130081300813009,2009-12-06
maven-changes-plugin-2.4,24,0,0.0,29,0,0.0,2011-01-24
maven-changes-plugin-2.5,26,0,0.0,33,1,0.030303030303030304,2011-05-20
maven-changes-plugin-2.6,10,0,0.0,16,1,0.0625,2011-06-19
maven-changes-plugin-2.7,1,0,0.0,4,0,0.0,2012-04-27
maven-changes-plugin-2.7.1,35,0,0.0,41,0,0.0,2012-05-10
maven-changes-plugin-2.8,33,8,0.24242424242424243,24,4,0.16666666666666666,2012-09-11
maven-changes-plugin-2.9,34,0,0.0,32,0,0.0,2013-03-01
maven-changes-plugin-2.10,12,1,0.08333333333333333,21,3,0.14285714285714285,2014-04-10
maven-changes-plugin-2.11,55,0,0.0,29,0,0.0,2014-09-24
maven-changes-plugin-2.12,16,2,0.125,14,1,0.07142857142857142,2016-03-31
