version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
maven-checkstyle-plugin-2.0,18,1,0.05555555555555555,22,1,0.045454545454545456,2006-01-28
maven-checkstyle-plugin-2.1,17,5,0.29411764705882354,93,4,0.043010752688172046,2006-05-14
maven-checkstyle-plugin-2.2,20,0,0.0,39,3,0.07692307692307693,2008-05-31
maven-checkstyle-plugin-2.3,22,0,0.0,36,3,0.08333333333333333,2009-07-10
maven-checkstyle-plugin-2.4,12,0,0.0,17,2,0.11764705882352941,2009-11-12
maven-checkstyle-plugin-2.5,21,12,0.5714285714285714,19,4,0.21052631578947367,2010-02-08
maven-checkstyle-plugin-2.6,9,0,0.0,22,2,0.09090909090909091,2010-09-22
maven-checkstyle-plugin-2.7,12,0,0.0,8,0,0.0,2011-08-08
maven-checkstyle-plugin-2.8,3,1,0.3333333333333333,12,1,0.08333333333333333,2011-10-24
maven-checkstyle-plugin-2.9,3,3,1.0,7,2,0.2857142857142857,2012-02-08
maven-checkstyle-plugin-2.9.1,20,8,0.4,28,3,0.10714285714285714,2012-02-22
maven-checkstyle-plugin-2.10,31,7,0.22580645161290322,18,3,0.16666666666666666,2013-02-17
maven-checkstyle-plugin-2.11,11,0,0.0,40,1,0.025,2013-11-12
maven-checkstyle-plugin-2.12,9,0,0.0,12,1,0.08333333333333333,2014-03-08
maven-checkstyle-plugin-2.12.1,42,2,0.047619047619047616,64,4,0.0625,2014-04-14
maven-checkstyle-plugin-2.13,18,1,0.05555555555555555,37,4,0.10810810810810811,2014-09-17
maven-checkstyle-plugin-2.14,8,8,1.0,8,3,0.375,2015-02-01
maven-checkstyle-plugin-2.15,20,0,0.0,20,2,0.1,2015-03-15
maven-checkstyle-plugin-2.16,2,0,0.0,12,1,0.08333333333333333,2015-07-13
maven-checkstyle-plugin-2.17,76,62,0.8157894736842105,31,4,0.12903225806451613,2015-10-15
