version_name,#files in version,#bugged files in version,bugged_ratio,version_date
maven-compiler-plugin-2.0,214,2,0.009345794392523364,2005-10-15
maven-compiler-plugin-2.0.1,214,27,0.1261682242990654,2006-04-03
maven-compiler-plugin-2.0.2,194,3,0.015463917525773196,2007-02-13
maven-compiler-plugin-2.1,186,3,0.016129032258064516,2009-12-30
maven-compiler-plugin-2.2,186,1,0.005376344086021506,2010-03-30
maven-compiler-plugin-2.3,186,2,0.010752688172043012,2010-04-10
maven-compiler-plugin-2.3.2,186,5,0.026881720430107527,2010-09-04
maven-compiler-plugin-2.4,186,1,0.005376344086021506,2012-04-27
maven-compiler-plugin-2.5.1,189,8,0.042328042328042326,2012-05-31
maven-compiler-plugin-3.0,182,3,0.016483516483516484,2012-11-15
maven-compiler-plugin-3.2,107,1,0.009345794392523364,2014-10-08
maven-compiler-plugin-3.3,106,0,0.0,2015-03-23
maven-compiler-plugin-3.5.1,98,5,0.05102040816326531,2016-02-06
maven-compiler-plugin-3.6.0,90,6,0.06666666666666667,2016-10-26
maven-compiler-plugin-3.6.1,84,3,0.03571428571428571,2017-01-13
maven-compiler-plugin-3.6.2,74,1,0.013513513513513514,2017-07-25
maven-compiler-plugin-3.7.0,57,21,0.3684210526315789,2017-09-01
