version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
Metron_0.1BETA_rc1,254,0,0.0,1,0,0.0,2016-02-18
Metron_0.1BETA_rc2,0,0,0,1,0,0.0,2016-02-18
Metron_0.1BETA_rc3,1,0,0.0,4,1,0.25,2016-02-18
Metron_0.1BETA_rc4,139,24,0.17266187050359713,32,16,0.5,2016-02-22
Metron_0.1BETA_rc5,0,0,0,3,1,0.3333333333333333,2016-03-22
Metron_0.1BETA_rc6,0,0,0,1,0,0.0,2016-03-30
Metron_0.1BETA_rc7,696,19,0.027298850574712645,39,16,0.41025641025641024,2016-04-01
codelab-v1.0,157,10,0.06369426751592357,23,11,0.4782608695652174,2016-05-06
Metron_0.1_tc1,35,0,0.0,3,0,0.0,2016-05-27
Metron_0.1_tc2,97,0,0.0,4,0,0.0,2016-05-29
Metron_0.1_tc3,126,27,0.21428571428571427,18,8,0.4444444444444444,2016-06-08
Metron_0.2.0BETA_rc1,20,7,0.35,15,10,0.6666666666666666,2016-06-21
Metron_0.2.0BETA_rc2,2,0,0.0,3,1,0.3333333333333333,2016-06-24
Metron_0.2.0BETA_rc3,338,45,0.13313609467455623,100,22,0.22,2016-07-13
Metron_0.2.1BETA_rc1,0,0,0,1,0,0.0,2016-09-29
Metron_0.2.1BETA_rc2,194,69,0.3556701030927835,78,37,0.47435897435897434,2016-09-29
apache-metron-0.3.0-rc1-incubating,331,165,0.4984894259818731,72,31,0.4305555555555556,2016-11-14
apache-metron-0.3.1-rc1-incubating,0,0,0,1,0,0.0,2017-02-06
apache-metron-0.3.1-rc2-incubating,16,0,0.0,2,0,0.0,2017-02-07
apache-metron-0.3.1-rc3-incubating,0,0,0,2,2,1.0,2017-02-09
apache-metron-0.3.1-rc4-incubating,5,2,0.4,11,7,0.6363636363636364,2017-02-10
apache-metron-0.3.1-rc5-incubating,306,66,0.21568627450980393,71,35,0.49295774647887325,2017-02-23
apache-metron-0.4.0-rc1a-incubating,34,0,0.0,19,4,0.21052631578947367,2017-04-19
apache-metron-0.4.0-rc2,148,73,0.49324324324324326,57,33,0.5789473684210527,2017-04-27
apache-metron-0.4.0-rc3,1,0,0.0,1,0,0.0,2017-06-19
apache-metron-0.4.0-release,561,118,0.2103386809269162,97,51,0.5257731958762887,2017-06-27
apache-metron-0.4.0-rc4,0,0,0,0,0,0,2017-06-27
apache-metron-0.4.1-rc1,13,0,0.0,1,0,0.0,2017-09-05
apache-metron-0.4.1-rc2,15,15,1.0,4,4,1.0,2017-09-06
apache-metron-0.4.1-rc3,8,4,0.5,6,3,0.5,2017-09-08
apache-metron-0.4.1-rc4,0,0,0,0,0,0,2017-09-08
apache-metron-0.4.1-release,231,126,0.5454545454545454,114,72,0.631578947368421,2017-09-08
apache-metron-0.4.2-rc2,0,0,0,0,0,0,2017-12-19
apache-metron-0.4.2-release,461,265,0.5748373101952278,143,72,0.5034965034965035,2017-12-19
apache-metron-0.5.0-release,36,2,0.05555555555555555,6,2,0.3333333333333333,2018-05-24
apache-metron-0.5.0-rc1,0,0,0,0,0,0,2018-05-24
