version_name,#files in version,#bugged files in version,version_date
v1.6.6-SNAPSHOT,208,102,2016-01-19
v2.0.0,217,125,2016-02-24
mnemonic-parent-0.1.0-incubating,171,0,2016-05-02
v0.1.1-incubating,171,108,2016-05-04
v0.1.2-incubating,148,34,2016-05-06
v0.2.0-incubating,140,22,2016-07-22
v0.3.0-incubating,136,13,2016-10-11
v0.4.0-incubating,131,37,2016-12-25
v0.5.0-incubating,124,37,2017-03-01
v0.6.0-incubating,107,10,2017-03-31
v0.7.0-incubating,105,26,2017-04-27
v0.8.0-incubating,103,82,2017-06-07
v0.9.0-incubating,76,42,2017-09-01
v0.10.0-incubating,49,38,2017-10-31
