version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
maven-pmd-plugin-2.0-beta-1,27,3,0.1111111111111111,33,4,0.12121212121212122,2006-01-13
maven-pmd-plugin-2.0,11,0,0.0,12,0,0.0,2006-05-14
maven-pmd-plugin-2.1,29,2,0.06896551724137931,40,1,0.025,2006-07-10
maven-pmd-plugin-2.2,10,0,0.0,25,1,0.04,2007-03-16
maven-pmd-plugin-2.3,8,0,0.0,20,0,0.0,2008-01-05
maven-pmd-plugin-2.4,23,0,0.0,62,0,0.0,2008-05-21
maven-pmd-plugin-2.5,8,0,0.0,21,1,0.047619047619047616,2010-05-01
maven-pmd-plugin-2.6,19,0,0.0,28,0,0.0,2011-11-08
maven-pmd-plugin-2.7,2,1,0.5,4,1,0.25,2012-02-01
maven-pmd-plugin-2.7.1,15,0,0.0,30,0,0.0,2012-02-12
maven-pmd-plugin-2.8,10,0,0.0,21,0,0.0,2012-11-26
maven-pmd-plugin-3.0,5,2,0.4,9,1,0.1111111111111111,2013-02-07
maven-pmd-plugin-3.0.1,37,0,0.0,40,0,0.0,2013-03-04
maven-pmd-plugin-3.1,3,0,0.0,11,0,0.0,2014-03-11
maven-pmd-plugin-3.2,5,0,0.0,17,3,0.17647058823529413,2014-07-28
maven-pmd-plugin-3.3,29,0,0.0,29,0,0.0,2014-11-14
maven-pmd-plugin-3.4,8,0,0.0,13,0,0.0,2015-01-31
maven-pmd-plugin-3.5,2,0,0.0,10,0,0.0,2015-07-03
maven-pmd-plugin-3.6,31,0,0.0,30,1,0.03333333333333333,2015-12-13
maven-pmd-plugin-3.7,11,1,0.09090909090909091,14,1,0.07142857142857142,2016-10-08
maven-pmd-plugin-3.8,58,0,0.0,36,0,0.0,2017-05-01
maven-pmd-plugin-3.9.0,13,0,0.0,23,0,0.0,2018-01-21
