version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
archiva-1.0-alpha-2,0,0,0,0,0,0,2008-03-29
archiva-parent-1.0-alpha-2,1534,21,0.013689700130378096,27,1,0.037037037037037035,2008-03-29
archiva-1.0.1,0,0,0,0,0,0,2008-03-29
archiva-1.0-beta-1,0,0,0,0,0,0,2008-03-29
1.0-beta-1,0,0,0,0,0,0,2008-03-29
archiva-0.9-alpha-1,0,0,0,0,0,0,2008-03-29
archiva-1.0-beta-3,0,0,0,0,0,0,2008-03-29
archiva-1.0-beta-4,0,0,0,0,0,0,2008-03-29
archiva-1.0-alpha-1,0,0,0,0,0,0,2008-03-29
archiva-1.0-beta-2,0,0,0,0,0,0,2008-03-29
archiva-0.9-alpha-2,0,0,0,0,0,0,2008-03-29
archiva-1.0,0,0,0,0,0,0,2008-03-29
archiva-1.0.2,227,5,0.022026431718061675,73,1,0.0136986301369863,2008-04-03
archiva-parent-2,4,0,0.0,3,0,0.0,2008-05-11
archiva-parent-3,148,12,0.08108108108108109,160,14,0.0875,2008-05-12
archiva-r676265,7,0,0.0,7,0,0.0,2008-07-13
archiva-1.1,30,0,0.0,28,1,0.03571428571428571,2008-07-16
archiva-1.1.1,800,765,0.95625,38,7,0.18421052631578946,2008-08-07
archiva-1.1.2,115,0,0.0,20,0,0.0,2008-09-12
archiva-1.1.3,145,14,0.09655172413793103,46,3,0.06521739130434782,2008-10-07
archiva-1.2-M1,777,12,0.015444015444015444,218,16,0.07339449541284404,2008-11-07
archiva-1.2,3,0,0.0,9,0,0.0,2009-03-22
archiva-1.1.4,53,4,0.07547169811320754,29,2,0.06896551724137931,2009-04-16
archiva-1.2.1,52,2,0.038461538461538464,55,3,0.05454545454545454,2009-05-24
archiva-1.2.2,753,7,0.009296148738379814,244,4,0.01639344262295082,2009-08-27
archiva-parent-4,0,0,0,1,0,0.0,2010-01-12
archiva-parent-5,0,0,0,12,0,0.0,2010-01-12
archiva-1.3,578,15,0.025951557093425604,170,3,0.01764705882352941,2010-01-13
archiva-parent-6,1,0,0.0,5,0,0.0,2010-06-08
archiva-1.3.1,72,8,0.1111111111111111,23,1,0.043478260869565216,2010-06-11
archiva-1.3.2,17,0,0.0,18,0,0.0,2010-11-30
archiva-1.3.3,111,0,0.0,42,0,0.0,2010-12-15
archiva-1.3.4,64,24,0.375,40,1,0.025,2011-02-08
archiva-1.3.5,1223,30,0.024529844644317254,788,7,0.008883248730964468,2011-05-17
archiva-parent-7,10,0,0.0,13,0,0.0,2011-10-18
archiva-1.4-M1,142,1,0.007042253521126761,219,2,0.0091324200913242,2011-10-26
archiva-parent-8,43,0,0.0,19,0,0.0,2011-12-14
archiva-1.4-M2,646,18,0.02786377708978328,1582,11,0.00695322376738306,2011-12-16
archiva-parent-9,5,0,0.0,60,1,0.016666666666666666,2012-09-21
redback-2.0,20,0,0.0,69,0,0.0,2012-09-26
archiva-1.4-M3,435,11,0.02528735632183908,527,4,0.007590132827324478,2012-10-03
archiva-1.3.6,94,1,0.010638297872340425,282,4,0.014184397163120567,2013-01-07
archiva-parent-10,0,0,0,0,0,0,2013-05-04
redback-2.1,34,0,0.0,33,0,0.0,2013-05-06
archiva-1.4-M4,215,4,0.018604651162790697,345,2,0.005797101449275362,2013-05-27
archiva-parent-11,0,0,0,0,0,0,2014-01-16
redback-2.2,0,0,0,0,0,0,2014-01-16
archiva-2.0.0-RC1,0,0,0,0,0,0,2014-01-17
archiva-2.0.0-RC2,0,0,0,0,0,0,2014-02-02
archiva-2.0.0-RC3,0,0,0,0,0,0,2014-02-03
archiva-2.0.0,62,4,0.06451612903225806,63,3,0.047619047619047616,2014-02-06
archiva-parent-12,43,0,0.0,67,0,0.0,2014-03-12
archiva-2.0.1,22,0,0.0,27,1,0.037037037037037035,2014-03-26
archiva-1.3.7,178,0,0.0,49,1,0.02040816326530612,2014-03-30
archiva-1.3.8,309,8,0.025889967637540454,92,2,0.021739130434782608,2014-04-11
archiva-1.3.9,0,0,0,9,0,0.0,2014-06-25
archiva-2.1.0,67,1,0.014925373134328358,54,1,0.018518518518518517,2014-07-16
archiva-2.1.1,127,17,0.13385826771653545,112,13,0.11607142857142858,2014-09-01
archiva-2.2.0,44,0,0.0,78,4,0.05128205128205128,2015-02-24
archiva-2.2.1,25,2,0.08,48,2,0.041666666666666664,2016-05-23
without_jdo,12,0,0.0,23,0,0.0,2016-12-30
archiva-2.2.2,16,6,0.375,25,2,0.08,2017-04-21
