version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
maven-source-plugin-2.0,22,0,0.0,17,0,0.0,2005-10-15
maven-source-plugin-2.0.1,17,1,0.058823529411764705,16,1,0.0625,2006-05-07
maven-source-plugin-2.0.2,40,38,0.95,17,3,0.17647058823529413,2006-12-13
maven-source-plugin-2.0.3,17,0,0.0,18,0,0.0,2007-04-21
maven-source-plugin-2.0.4,31,0,0.0,41,3,0.07317073170731707,2007-11-08
maven-source-plugin-2.1,1,1,1.0,10,1,0.1,2009-04-17
maven-source-plugin-2.1.1,5,0,0.0,6,0,0.0,2009-10-12
maven-source-plugin-2.1.2,16,0,0.0,23,0,0.0,2010-05-17
maven-source-plugin-2.2,0,0,0,11,0,0.0,2012-08-02
maven-source-plugin-2.2.1,28,0,0.0,24,0,0.0,2012-10-09
maven-source-plugin-2.3,2,0,0.0,10,0,0.0,2014-07-08
maven-source-plugin-2.4,42,1,0.023809523809523808,39,3,0.07692307692307693,2014-10-07
maven-source-plugin-3.0.0,3,0,0.0,14,1,0.07142857142857142,2016-02-10
