version_name,#files in version,#bugged files in version,bugged_ratio,version_date
v1-3-8,375,11,0.029333333333333333,2007-07-29
NET_1_5_0,327,2,0.0061162079510703364,2008-03-02
NET_2_0_RC2,283,3,0.01060070671378092,2008-03-04
NET_2_0_RC3,283,25,0.08833922261484099,2008-03-09
NET_2_0_RC_3,283,46,0.1625441696113074,2008-04-06
NET_1_5_0_RC2,312,35,0.11217948717948718,2008-10-28
NET_1_5_0_RC4,312,4,0.01282051282051282,2009-07-21
NET_2_1_RC_3,279,8,0.02867383512544803,2009-11-08
NET_2_1_RC_4,277,0,0.0,2010-03-14
commons-net-2.1-rc4,277,0,0.0,2010-03-18
NET_2_1_RC_6,277,11,0.039711191335740074,2010-03-21
NET_2_1_r924745,277,9,0.032490974729241874,2010-07-14
NET_2_2_RC3,277,8,0.02888086642599278,2010-11-16
NET_2_2,277,58,0.20938628158844766,2011-02-24
NET_3_0_RC2,246,6,0.024390243902439025,2011-04-08
NET_3_0_RC3,245,0,0.0,2011-04-21
NET_3_0_RC4,245,2,0.00816326530612245,2011-04-25
NET_3_0,245,1,0.004081632653061225,2011-05-14
NET_3_0_1RC3,243,0,0.0,2011-06-02
NET_3_0_1,243,17,0.06995884773662552,2011-06-07
NET_3_1,242,31,0.128099173553719,2012-02-21
NET_3_2_RC1,243,0,0.0,2012-11-26
NET_3_2,243,16,0.06584362139917696,2012-12-01
NET_3_3,233,108,0.463519313304721,2013-06-11
NET_3_4,151,2,0.013245033112582781,2015-11-25
NET_3_5_RC1,147,0,0.0,2016-04-15
NET_3_5,121,21,0.17355371900826447,2016-05-05
