version_name,#files in version,#bugged files in version,version_date
jackrabbit-oak-0.1,4243,411,2012-03-30
jackrabbit-oak-0.2,4314,3,2012-05-02
0.2.1,4314,92,2012-05-03
jackrabbit-oak-0.2.1,4314,439,2012-05-07
jackrabbit-oak-0.3,4389,301,2012-07-02
jackrabbit-oak-0.4,4422,524,2012-08-07
jackrabbit-oak-0.5,4540,1256,2012-09-24
jackrabbit-oak-0.6,4664,1103,2013-01-24
jackrabbit-oak-0.7,4611,247,2013-05-06
jackrabbit-oak-0.8,4617,921,2013-05-22
jackrabbit-oak-0.9,4581,255,2013-09-16
jackrabbit-oak-0.10,4586,538,2013-10-03
jackrabbit-oak-0.11,4579,120,2013-11-17
jackrabbit-oak-0.12,4577,224,2013-11-25
jackrabbit-oak-0.13,4581,197,2013-12-09
jackrabbit-oak-0.14,4584,204,2014-01-07
jackrabbit-oak-0.15,4589,99,2014-01-22
jackrabbit-oak-core-0.15.2,4819,611,2014-01-28
jackrabbit-oak-0.16,4636,319,2014-02-06
jackrabbit-oak-0.17,4637,262,2014-02-18
jackrabbit-oak-0.17.1,4601,163,2014-02-21
jackrabbit-oak-0.18,4593,345,2014-03-05
jackrabbit-oak-0.19,4595,328,2014-03-20
jackrabbit-oak-0.20.0,4620,269,2014-04-03
jackrabbit-oak-1.0.0,4599,201,2014-05-08
jackrabbit-oak-1.0.1,4605,154,2014-06-16
jackrabbit-oak-1.0.2,4609,89,2014-07-09
jackrabbit-oak-1.0.3,4610,137,2014-07-24
jackrabbit-oak-1.0.4,4610,89,2014-07-31
jackrabbit-oak-1.0.5,4615,146,2014-08-25
jackrabbit-oak-1.0.6,4625,77,2014-09-19
jackrabbit-oak-1.1.0,4686,57,2014-10-01
jackrabbit-oak-1.0.7,4632,25,2014-10-09
jackrabbit-oak-1.1.1,4686,237,2014-10-13
jackrabbit-oak-1.0.8,4673,38,2014-10-31
jackrabbit-oak-1.1.2,4694,190,2014-11-06
jackrabbit-oak-1.1.3,4689,106,2014-12-09
jackrabbit-oak-1.0.9,4676,115,2014-12-17
jackrabbit-oak-1.1.4,4694,186,2015-01-07
jackrabbit-oak-1.1.5,4695,80,2015-01-19
jackrabbit-oak-1.0.10,4679,12,2015-01-23
jackrabbit-oak-1.0.11,4679,95,2015-01-26
jackrabbit-oak-1.1.6,4694,248,2015-02-04
jackrabbit-oak-1.0.12,4699,5,2015-03-04
jackrabbit-oak-1.1.7,4696,341,2015-03-04
jackrabbit-oak-1.1.8,4687,171,2015-03-30
jackrabbit-oak-1.2.0,4690,231,2015-04-09
jackrabbit-oak-1.2.1,4693,18,2015-04-15
jackrabbit-oak-1.0.13,4712,82,2015-04-17
jackrabbit-oak-1.2.2,4692,79,2015-04-29
jackrabbit-oak-1.0.14,4714,244,2015-05-12
jackrabbit-oak-1.3.0,4596,140,2015-06-08
jackrabbit-oak-1.0.15,4711,143,2015-06-12
jackrabbit-oak-1.3.1,4757,32,2015-06-22
jackrabbit-oak-1.0.16,4715,43,2015-06-25
jackrabbit-oak-1.3.2,4765,70,2015-07-01
jackrabbit-oak-1.0.17,4720,104,2015-07-10
jackrabbit-oak-1.3.3,4769,9,2015-07-20
jackrabbit-oak-1.2.3,4704,90,2015-07-21
jackrabbit-oak-1.0.18,4721,230,2015-07-31
jackrabbit-oak-1.3.4,4745,15,2015-08-18
jackrabbit-oak-1.0.19,4734,4,2015-08-21
jackrabbit-oak-1.2.4,4705,117,2015-08-24
jackrabbit-oak-1.3.5,4746,147,2015-09-01
jackrabbit-oak-1.2.5,4710,2,2015-09-14
jackrabbit-oak-1.3.6,4744,23,2015-09-14
jackrabbit-oak-1.2.6,4708,161,2015-09-17
jackrabbit-oak-1.3.7,4738,54,2015-09-27
jackrabbit-oak-1.0.22,4732,22,2015-10-03
jackrabbit-oak-1.2.7,4705,87,2015-10-05
jackrabbit-oak-1.3.8,4743,195,2015-10-12
jackrabbit-oak-1.3.9,4736,40,2015-10-27
jackrabbit-oak-1.0.23,4735,115,2015-10-28
jackrabbit-oak-1.3.10,4743,116,2015-11-09
jackrabbit-oak-1.0.24,4736,4,2015-11-16
jackrabbit-oak-1.2.8,4707,62,2015-11-16
jackrabbit-oak-1.3.11,4743,179,2015-11-23
jackrabbit-oak-1.0.25,4731,36,2015-12-08
jackrabbit-oak-1.2.9,4702,277,2015-12-08
jackrabbit-oak-1.3.13,4724,253,2016-01-04
jackrabbit-oak-1.3.14,4708,1,2016-01-18
jackrabbit-oak-1.0.26,4734,15,2016-01-19
jackrabbit-oak-1.2.10,4711,528,2016-01-20
jackrabbit-oak-1.3.15,4655,37,2016-02-03
jackrabbit-oak-1.0.27,4729,59,2016-02-10
jackrabbit-oak-1.3.16,4655,96,2016-02-16
jackrabbit-oak-1.0.28,4732,13,2016-02-29
jackrabbit-oak-1.2.12,4706,5,2016-03-02
jackrabbit-oak-1.4.0,4644,64,2016-03-07
jackrabbit-oak-1.0.29,4733,4,2016-03-22
jackrabbit-oak-1.2.13,4704,1,2016-03-23
jackrabbit-oak-1.4.1,4645,0,2016-03-24
jackrabbit-oak-1.5.0,4657,64,2016-03-29
jackrabbit-oak-1.5.1,4656,142,2016-04-11
jackrabbit-oak-1.0.30,4733,21,2016-04-18
jackrabbit-oak-1.2.14,4699,561,2016-04-20
jackrabbit-oak-1.4.2,4651,64,2016-05-03
jackrabbit-oak-1.5.2,4668,7,2016-05-13
jackrabbit-oak-1.2.15,4701,164,2016-05-16
jackrabbit-oak-1.0.31,4735,6,2016-05-30
jackrabbit-oak-1.4.3,4652,121,2016-05-31
jackrabbit-oak-1.5.3,4675,259,2016-06-06
jackrabbit-oak-1.2.16,4708,112,2016-06-13
jackrabbit-oak-1.5.4,4683,1,2016-06-22
oak-segment-tar-0.0.2,4142,15,2016-06-22
jackrabbit-oak-1.4.4,4653,108,2016-06-27
jackrabbit-oak-1.5.5,4706,12,2016-07-06
jackrabbit-oak-1.0.32,4741,21,2016-07-11
oak-segment-tar-0.0.4,4150,22,2016-07-11
jackrabbit-oak-1.4.5,4654,53,2016-07-13
oak-segment-tar-0.0.6,4150,59,2016-07-19
jackrabbit-oak-1.5.6,4708,89,2016-07-21
oak-segment-tar-0.0.8,4156,17,2016-07-29
jackrabbit-oak-1.5.7,4707,97,2016-08-01
jackrabbit-oak-1.4.6,4643,10,2016-08-09
jackrabbit-oak-1.2.18,4717,34,2016-08-10
jackrabbit-oak-1.5.8,4697,87,2016-08-15
jackrabbit-oak-1.0.33,4740,40,2016-08-22
oak-segment-tar-0.0.10,4174,85,2016-08-23
jackrabbit-oak-1.5.9,4714,131,2016-08-30
jackrabbit-oak-1.4.7,4648,89,2016-09-09
jackrabbit-oak-1.2.19,4712,13,2016-09-13
jackrabbit-oak-1.5.10,4707,149,2016-09-13
oak-segment-tar-0.0.12,4223,229,2016-09-15
jackrabbit-oak-1.5.11,4635,22,2016-09-30
jackrabbit-oak-1.4.8,4655,2,2016-10-03
jackrabbit-oak-1.0.34,4739,77,2016-10-03
oak-segment-tar-0.0.14,4236,28,2016-10-06
jackrabbit-oak-1.5.12,4620,2,2016-10-11
jackrabbit-oak-1.2.20,4715,157,2016-10-12
oak-segment-tar-0.0.16,4234,19,2016-10-20
jackrabbit-oak-1.4.9,4658,372,2016-10-21
jackrabbit-oak-1.5.13,4626,10,2016-11-08
jackrabbit-oak-1.4.10,4659,27,2016-11-10
jackrabbit-oak-1.0.35,4739,13,2016-11-14
jackrabbit-oak-1.2.21,4715,98,2016-11-15
jackrabbit-oak-1.5.14,4615,301,2016-11-21
jackrabbit-oak-1.5.15,4602,14,2016-12-08
jackrabbit-oak-1.2.22,4715,4,2016-12-12
jackrabbit-oak-1.4.11,4657,126,2016-12-12
jackrabbit-oak-1.5.16,4590,52,2016-12-19
jackrabbit-oak-1.5.17,4579,32,2017-01-04
jackrabbit-oak-1.2.23,4714,2,2017-01-10
jackrabbit-oak-1.4.12,4643,92,2017-01-10
jackrabbit-oak-1.5.18,4568,66,2017-01-18
jackrabbit-oak-1.6.0,4570,23,2017-01-30
jackrabbit-oak-1.4.13,4644,69,2017-02-07
jackrabbit-oak-1.0.37,4739,204,2017-02-16
jackrabbit-oak-1.6.1,4561,261,2017-03-02
jackrabbit-oak-1.2.24,4714,16,2017-03-06
jackrabbit-oak-1.4.14,4641,171,2017-03-06
jackrabbit-oak-1.0.38,4745,394,2017-03-28
jackrabbit-oak-1.4.15,4645,119,2017-04-03
jackrabbit-oak-1.2.25,4718,1426,2017-04-11
jackrabbit-oak-1.7.0,3638,94,2017-05-24
jackrabbit-oak-1.4.16,4638,11,2017-06-05
jackrabbit-oak-1.7.1,3627,118,2017-06-06
jackrabbit-oak-1.6.2,4548,157,2017-06-12
jackrabbit-oak-1.7.2,3571,235,2017-06-19
jackrabbit-oak-1.7.3,3530,73,2017-07-03
jackrabbit-oak-1.6.3,4545,5,2017-07-12
jackrabbit-oak-1.4.17,4636,35,2017-07-17
jackrabbit-oak-1.7.4,3508,160,2017-07-19
jackrabbit-oak-1.7.5,3482,2,2017-07-31
jackrabbit-oak-1.2.27,4696,293,2017-08-02
jackrabbit-oak-1.0.39,4728,5,2017-08-15
jackrabbit-oak-1.6.4,4539,107,2017-08-16
jackrabbit-oak-1.7.6,3367,105,2017-08-22
jackrabbit-oak-1.4.18,4638,23,2017-08-30
jackrabbit-oak-1.6.5,4539,113,2017-09-04
jackrabbit-oak-1.7.7,3290,393,2017-09-11
jackrabbit-oak-1.7.8,3165,1610,2017-09-25
jackrabbit-oak-1.7.9,2637,528,2017-10-09
jackrabbit-oak-1.7.10,2339,64,2017-10-23
jackrabbit-oak-1.6.6,4537,50,2017-10-30
jackrabbit-oak-1.7.11,2307,262,2017-11-07
jackrabbit-oak-1.6.7,4507,95,2017-11-28
jackrabbit-oak-1.7.12,2205,381,2017-12-04
jackrabbit-oak-1.7.13,2032,14,2017-12-19
jackrabbit-oak-1.7.14,2028,27,2017-12-20
jackrabbit-oak-1.4.19,4632,3,2018-01-04
jackrabbit-oak-1.0.40,4730,5,2018-01-05
jackrabbit-oak-1.8.0,2011,2,2018-01-09
jackrabbit-oak-1.6.8,4497,31,2018-01-09
jackrabbit-oak-1.2.28,4696,46,2018-01-16
jackrabbit-oak-1.0.41,4729,14,2018-01-18
jackrabbit-oak-1.8.1,1994,76,2018-01-22
jackrabbit-oak-1.8.2,1989,0,2018-02-06
jackrabbit-oak-1.6.9,4484,65,2018-02-07
jackrabbit-oak-1.4.20,4630,59,2018-02-13
jackrabbit-oak-1.6.10,4485,30,2018-03-05
jackrabbit-oak-1.2.29,4697,211,2018-03-12
jackrabbit-oak-1.0.42,4730,33,2018-03-20
jackrabbit-oak-1.4.21,4631,87,2018-03-27
jackrabbit-oak-1.6.11,4484,149,2018-04-04
jackrabbit-oak-1.9.0,1719,156,2018-04-23
jackrabbit-oak-1.9.1,1673,0,2018-05-10
jackrabbit-oak-1.8.3,1969,15,2018-05-11
jackrabbit-oak-1.9.2,1666,72,2018-05-21
jackrabbit-oak-1.6.12,4475,27,2018-05-28
jackrabbit-oak-1.8.4,1952,58,2018-06-04
jackrabbit-oak-1.9.3,1576,20,2018-06-05
jackrabbit-oak-1.9.4,1563,78,2018-06-18
jackrabbit-oak-1.4.22,4630,12,2018-06-25
jackrabbit-oak-1.8.5,1950,108,2018-07-03
jackrabbit-oak-1.9.6,1466,1413,2018-07-18
jackrabbit-oak-1.6.13,4470,53,2018-07-25
