version_name,#files in version,#bugged files in version,version_date
0.5-incubating-rc1,345,1,2011-11-21
0.5-incubating-rc2,316,1,2011-12-02
0.5-incubating-rc4,316,2,2011-12-14
0.5-incubating-rc7,314,242,2012-01-16
0.6-incubating-rc1,124,2,2013-01-10
0.6-incubating-rc3,111,1,2013-03-07
0.6-incubating-rc6,110,0,2013-05-27
odftoolkit-0.6.1-incubating-RC2,110,8,2013-07-10
odftoolkit-0.6.1-incubating-RC3,104,2,2013-07-26
odftoolkit-0.6.1-incubating-RC4,103,46,2014-02-12
odftoolkit-0.6.2-incubating-RC1,57,5,2017-03-03
