version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
0.9.6-incubating,0,0,0,0,0,0,2007-05-23
0.9.7-incubating,471,161,0.34182590233545646,200,24,0.12,2007-05-23
1.0.0,262,74,0.2824427480916031,124,39,0.31451612903225806,2007-08-28
1.0.1,938,84,0.08955223880597014,149,41,0.2751677852348993,2007-11-10
1.0.2,216,58,0.26851851851851855,110,49,0.44545454545454544,2008-02-19
1.1.0,173,107,0.6184971098265896,88,48,0.5454545454545454,2008-05-24
1.0.3,1039,297,0.2858517805582291,419,148,0.3532219570405728,2008-07-17
1.2.1,20,0,0.0,2,0,0.0,2009-03-13
1.2.0,2772,526,0.18975468975468976,778,170,0.2185089974293059,2009-03-14
2.0.0-M3,488,210,0.430327868852459,229,99,0.43231441048034935,2009-10-12
1.2.2,332,35,0.10542168674698796,71,25,0.352112676056338,2010-01-13
2.0.0-beta,100,56,0.56,82,26,0.3170731707317073,2010-01-28
2.0.0-beta2,218,100,0.45871559633027525,195,104,0.5333333333333333,2010-02-24
2.0.0-beta3,110,74,0.6727272727272727,78,39,0.5,2010-03-23
2.0.0,595,312,0.5243697478991597,364,122,0.33516483516483514,2010-04-19
2.0.1,0,0,0,1,0,0.0,2010-08-26
1.0.4,573,159,0.2774869109947644,370,92,0.24864864864864866,2010-08-26
2.1.0,201,129,0.6417910447761194,128,83,0.6484375,2011-02-16
2.1.1,414,86,0.20772946859903382,188,62,0.32978723404255317,2011-07-19
2.2.0,630,164,0.26031746031746034,159,83,0.5220125786163522,2012-02-16
2.2.1,89,62,0.6966292134831461,74,37,0.5,2012-11-01
1.2.3,2,0,0.0,6,0,0.0,2013-04-12
2.2.2,298,125,0.41946308724832215,72,47,0.6527777777777778,2013-04-16
openjpa-parent-2.3.0,0,0,0,0,0,0,2013-11-11
2.3.0,459,392,0.8540305010893247,88,52,0.5909090909090909,2013-11-21
openjpa-parent-2.4.0,1,0,0.0,2,0,0.0,2015-04-19
2.4.0,104,45,0.4326923076923077,51,20,0.39215686274509803,2015-05-05
2.4.1-SNAPSHOT,0,0,0,4,0,0.0,2016-02-14
2.4.1,243,30,0.12345679012345678,73,17,0.2328767123287671,2016-02-14
2.4.2,15,10,0.6666666666666666,16,7,0.4375,2017-01-03
openjpa-parent-2.4.3,0,0,0,5,0,0.0,2018-06-06
openjpa-parent-3.0.0,0,0,0,1,0,0.0,2018-06-08
2.4.3,0,0,0,0,0,0,2018-06-14
