version_name,#files in version,#bugged files in version,version_date
v2.2.3,2460,397,2014-02-24
phoenix-2.2.3-incubating,2460,80,2014-03-14
v4.0.0-incubating-rc0,1757,53,2014-03-19
v4.0.0-incubating-rc1,1757,8,2014-03-21
v4.0.0-incubating-rc2,1757,3,2014-03-26
v3.0.0-incubating-release,1766,425,2014-03-28
v3.1.0-rc0,1756,13,2014-08-11
v3.1.0-rc1,1756,77,2014-08-12
v3.1.0-rc2,1755,0,2014-08-21
v4.1.0-rc0,1811,1,2014-08-21
v3.1.0-rc3,1755,331,2014-08-25
v3.2.0-rc0,1724,125,2014-10-22
v3.2.0-rc1,1722,53,2014-10-28
v3.2.1-rc0,1721,45,2014-11-07
v3.2.1-rc1,1716,201,2014-11-13
v3.2.2-rc0,1713,472,2014-12-05
v3.3.0-rc0,1699,123,2015-01-27
v3.3.0-rc1,1698,118,2015-02-09
v4.3.0-rc0,1541,16,2015-02-10
v3.3.0-rc2,1698,227,2015-02-18
v3.3.1-rc0,1698,24,2015-03-31
v3.3.1-rc1,1699,264,2015-04-03
v4.4.0-HBase-1.0-rc0,1464,4,2015-05-02
v4.4.0-HBase-1.0-rc1,1464,73,2015-05-11
v4.4.0-HBase-1.1-rc0,1463,340,2015-05-25
v4.5.0-HBase-1.1-rc0,1378,73,2015-07-22
v4.5.1-HBase-0.98-rc0,1388,2,2015-08-13
v4.5.1-HBase-0.98-rc1,1388,112,2015-08-14
v4.5.2-HBase-1.1-rc0,1370,1,2015-09-10
v4.5.2-HBase-1.1-rc1,1363,107,2015-09-11
v4.6.0-HBase-1.0-rc0,1348,406,2015-10-19
v4.7.0-HBase-1.1-rc0,1275,15,2016-01-22
v4.7.0-HBase-1.0-rc1,1278,138,2016-01-28
v4.7.0-HBase-1.0-rc2,1273,37,2016-02-19
v4.7.0-HBase-1.0-rc3,1272,18,2016-02-24
v4.7.0-HBase-1.0-rc4,1273,16,2016-02-28
v4.7.0-HBase-0.98-rc6,1282,431,2016-03-04
v4.8.0-HBase-1.1-rc0,1204,104,2016-07-13
v4.8.0-HBase-0.98-rc1,1197,4,2016-08-03
v4.8.0-HBase-1.2-rc2,1174,1,2016-08-07
v4.8.0-HBase-0.98-rc2,1197,323,2016-08-07
v4.8.1-HBase-1.2-rc0,1142,225,2016-09-22
v4.9.0-HBase-0.98-rc0,1073,32,2016-10-31
v4.9.0-HBase-1.2-rc1,1031,6,2016-11-02
v4.9.0-HBase-1.2-rc2,1030,1,2016-11-03
v4.8.2-HBase-1.2-rc0,1138,5,2016-11-04
v4.9.0-HBase-0.98-rc3,1060,3,2016-11-05
v4.8.2-HBase-1.0-rc1,1145,41,2016-11-07
4.8.2-HBase-1.2-rc2,1136,8,2016-11-18
v4.9.0-HBase-0.98-rc5,1054,375,2016-11-18
v4.10.0-HBase-1.1-rc0,913,4,2017-03-07
v4.10.0-HBase-1.1-rc1,913,275,2017-03-09
v4.11.0-HBase-1.3-rc0,828,28,2017-06-09
v4.11.0-HBase-0.98-rc1,864,462,2017-06-14
v4.12.0-HBase-0.98,697,74,2017-10-03
v4.13.0-HBase-0.98-rc1,681,287,2017-11-06
v4.13.1-HBase-1.3-rc0,605,3,2017-11-27
v4.13.1-HBase-1.2-rc0,614,64,2017-11-27
v4.13.2-cdh5.11.2-rc0,609,37,2018-01-12
v5.0.0-alpha-HBase-2.0-rc0,466,22,2018-02-01
v5.0.0-alpha-HBase-2.0-rc1,449,338,2018-02-08
v4.14.0-cdh5.14.2-rc0,456,100,2018-05-03
v4.14.0-HBase-0.98-rc1,491,2,2018-05-25
v4.14.0-cdh5.14.2-rc1,411,29,2018-05-26
v4.14.0-HBase-0.98-rc3,491,1,2018-06-03
v4.14.0-cdh5.14.2-rc3,410,23,2018-06-04
v5.0.0-HBase-2.0-rc0,140,13,2018-06-13
