version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
v1.4,323,17,0.05263157894736842,264,7,0.026515151515151516,2010-01-14
v1.2,0,0,0,0,0,0,2010-01-14
v1.0.1,0,0,0,0,0,0,2010-01-14
v1.1,0,0,0,0,0,0,2010-01-14
v1.3,0,0,0,0,0,0,2010-01-14
v1.0,0,0,0,0,0,0,2010-01-14
v1.5,382,9,0.02356020942408377,238,6,0.025210084033613446,2010-05-30
v1.5.1,365,47,0.12876712328767123,226,2,0.008849557522123894,2010-08-16
v1.5.2,98,1,0.01020408163265306,84,1,0.011904761904761904,2010-10-15
v2.0,166,48,0.2891566265060241,174,45,0.25862068965517243,2010-12-21
pivot-archetype-quickstart-1.0,144,10,0.06944444444444445,126,9,0.07142857142857142,2011-08-24
2.0.1,19,15,0.7894736842105263,10,2,0.2,2012-01-08
pivot-archetype-quickstart-1.0.1,402,2,0.004975124378109453,120,1,0.008333333333333333,2012-01-28
2.0.2,0,0,0,1,0,0.0,2012-05-17
pivot-archetype-quickstart-1.0.2,164,26,0.15853658536585366,85,15,0.17647058823529413,2012-05-22
2.0.3,17,2,0.11764705882352941,10,2,0.2,2013-03-27
pivot-archetype-quickstart-1.0.3,750,13,0.017333333333333333,75,8,0.10666666666666667,2013-08-07
2.0.4,4,4,1.0,1,1,1.0,2014-05-07
pivot-archetype-quickstart-1.0.4,474,291,0.6139240506329114,265,68,0.25660377358490566,2014-05-29
