version_name,#files in version,#bugged files in version,version_date
POOL_1_3_RC1@560656,134,10,2006-03-21
POOL_1_3_RC3@388728,134,2,2006-03-24
POOL_1_3_RC4@560656,134,6,2006-03-26
POOL_1_3@560656,134,7,2006-04-03
start,118,10,2007-07-29
POOL_1_4_RC1,133,2,2007-12-28
POOL_1_4_RC3,133,0,2008-01-12
POOL_1_4,133,4,2008-01-18
POOL_1_5_RC1,133,1,2009-05-29
POOL_1_5_RC2,133,1,2009-05-30
POOL_1_5,133,2,2009-06-10
POOL_1_5_1,133,2,2009-06-16
POOL_1_5_3,132,0,2009-09-22
POOL_1_5_4,132,10,2009-11-20
POOL_1_5_5_RC1,128,0,2010-08-30
POOL_1_5_5,128,68,2010-09-14
POOL_1_5_6,128,110,2011-04-03
POOL_1_5_7_RC3,128,2,2011-12-10
POOL_1_6_RC4,128,29,2012-01-09
POOL_1_6,128,31,2012-06-17
POOL_2_0_RC1,88,1,2013-10-30
POOL_2_0_RC4,88,0,2013-11-05
POOL_2_0,88,11,2013-11-23
POOL_2_1,86,23,2013-12-30
POOL_2_2,83,10,2014-02-25
POOL_2_3_RC1,83,2,2014-12-23
POOL_2_3,83,6,2014-12-31
POOL_2_4_1,83,0,2015-06-01
POOL_2_4_2,83,8,2015-08-01
POOL_2.4.3-RC1,66,45,2017-10-24
POOL_2_5_0_RC1,30,0,2017-12-16
