version_name,#files in version,#bugged files in version,version_date
qpid-jms-0.1.0,586,61,2015-03-16
0.2.0,584,77,2015-05-13
0.3.0,581,74,2015-06-11
0.4.0,563,49,2015-08-14
0.5.0,564,103,2015-08-28
0.6.0,561,108,2015-10-08
0.7.0,555,6,2015-12-18
0.8.0,553,65,2016-02-16
0.9.0,385,103,2016-04-07
0.10.0,362,52,2016-06-27
0.11.0,354,102,2016-09-05
0.11.1,353,81,2016-09-30
0.20.0-beta,305,152,2016-11-14
0.20.0,253,58,2017-01-16
0.21.0,250,42,2017-03-10
0.22.0,234,33,2017-04-17
0.23.0,222,44,2017-05-12
0.24.0,204,38,2017-08-04
0.25.0,181,21,2017-09-18
0.26.0,163,28,2017-10-04
0.27.0,150,5,2017-11-01
0.28.0,148,13,2017-12-11
0.29.0,145,5,2018-01-19
0.30.0,143,11,2018-02-26
0.31.0,140,69,2018-03-22
0.32.0,97,15,2018-04-30
0.33.0,63,18,2018-06-11
0.34.0,46,34,2018-06-25
