version_name,#files in version,#bugged files in version,bugged_ratio,version_date
ranger-0.4.0-rc1,1387,11,0.007930785868781542,2014-11-01
ranger-0.4.0-rc2,1387,53,0.03821196827685652,2014-11-04
ranger-0.4.0-rc3,1388,836,0.6023054755043228,2014-11-10
ranger-0.4.1-rc1,1389,554,0.3988480921526278,2015-01-19
ranger-0.5.0-rc1,1193,81,0.06789606035205364,2015-05-19
ranger-0.5.0-rc2,1192,82,0.06879194630872483,2015-05-27
ranger-0.5.0-rc3,1189,365,0.3069806560134567,2015-06-03
ranger-0.5.1-rc0,1177,28,0.0237892948173322,2015-12-14
ranger-0.5.1-rc1,1177,30,0.025488530161427356,2016-01-04
ranger-0.5.1-rc2,1177,81,0.06881903143585387,2016-01-10
ranger-0.5.2-rc1,1177,367,0.31180968564146133,2016-02-11
ranger-0.5.3-rc1,1169,27,0.023096663815226688,2016-04-25
ranger-0.5.3-rc2,1169,52,0.04448246364414029,2016-05-03
ranger-0.5.3-rc3,1169,200,0.1710863986313088,2016-05-20
ranger-0.6.0-rc1,1123,224,0.19946571682991987,2016-07-11
ranger-0.6.1-rc1,1123,1,0.0008904719501335708,2016-08-11
ranger-0.6.1-rc2,1123,151,0.13446126447016918,2016-08-12
ranger-0.6.2-rc1,1121,164,0.1462979482604817,2016-10-27
release-0.6.3,1121,147,0.1311329170383586,2017-01-26
ranger-0.7.0-rc1,609,177,0.29064039408866993,2017-02-20
release-ranger-0.7.1,573,306,0.5340314136125655,2017-06-01
release-1.0.0-rc0,315,4,0.012698412698412698,2018-03-12
release-ranger-1.0.0,315,238,0.7555555555555555,2018-03-14
