version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
0.6-incubating,0,0,0,0,0,0,2012-03-26
0.9-incubating,14,0,0.0,17,2,0.11764705882352941,2012-03-26
0.3-incubating,0,0,0,0,0,0,2012-03-26
0.7-incubating,0,0,0,0,0,0,2012-03-26
0.4-incubating,0,0,0,0,0,0,2012-03-26
0.1-incubating,0,0,0,0,0,0,2012-03-26
0.2-incubating,0,0,0,0,0,0,2012-03-26
0.8-incubating,0,0,0,0,0,0,2012-03-26
0.5-incubating,0,0,0,0,0,0,2012-03-26
0.10,2,0,0.0,11,0,0.0,2012-04-05
0.10.1,48,4,0.08333333333333333,60,3,0.05,2012-04-09
0.11,119,2,0.01680672268907563,60,3,0.05,2012-05-01
0.12,482,16,0.03319502074688797,115,5,0.043478260869565216,2012-05-31
0.13,39,29,0.7435897435897436,35,11,0.3142857142857143,2012-06-29
0.14,259,6,0.023166023166023165,44,8,0.18181818181818182,2012-08-01
0.15,53,6,0.11320754716981132,24,8,0.3333333333333333,2012-09-03
0.16,359,28,0.07799442896935933,94,12,0.1276595744680851,2012-10-01
0.17,36,6,0.16666666666666666,12,2,0.16666666666666666,2012-11-01
0.18,389,2,0.005141388174807198,47,3,0.06382978723404255,2012-12-02
0.19,138,32,0.2318840579710145,79,22,0.27848101265822783,2013-01-07
0.20,0,0,0,0,0,0,2013-03-06
0.20.1,534,6,0.011235955056179775,56,8,0.14285714285714285,2013-03-07
0.21,6,0,0.0,15,1,0.06666666666666667,2013-04-04
0.21.1,81,0,0.0,62,3,0.04838709677419355,2013-05-02
0.22,284,3,0.01056338028169014,100,7,0.07,2013-07-09
