version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
SEPTEMBER_05_WD,46,23,0.5,57,10,0.17543859649122806,2007-07-29
SCXML_0_5_RC2,0,0,0,0,0,0,2007-07-29
SCXML_0_5_RC1,0,0,0,0,0,0,2007-07-29
SCXML_0_6_RC1,0,0,0,0,0,0,2007-07-29
PRE_BRANCHING,0,0,0,0,0,0,2007-07-29
SCXML_0_5_RC3,0,0,0,0,0,0,2007-07-29
SCXML_0_5,0,0,0,0,0,0,2007-07-29
SCXML_SANDBOX_04_2006,0,0,0,0,0,0,2007-07-29
SCXML_0_6,0,0,0,0,0,0,2007-07-29
SCXML_0_6_RC2,0,0,0,0,0,0,2007-07-29
SCXML_0_7_RC1,12,0,0.0,14,0,0.0,2007-12-08
SCXML_0_7_RC2,0,0,0,1,0,0.0,2007-12-12
SCXML_0_7,105,10,0.09523809523809523,155,17,0.10967741935483871,2007-12-19
SCXML_0_8_RC1,0,0,0,5,1,0.2,2008-05-09
SCXML_0_8_RC2,3,3,1.0,4,1,0.25,2008-05-14
SCXML_0_8,96,60,0.625,88,27,0.3068181818181818,2008-05-19
SCXML_0_9_RC1,12,0,0.0,6,0,0.0,2008-11-22
SCXML_0_9,593,81,0.13659359190556492,254,41,0.16141732283464566,2008-12-01
commons-scxml2-2.0-M0,185,35,0.1891891891891892,34,1,0.029411764705882353,2014-03-11
