version_name,#files in version,#bugged files in version,bugged_ratio,version_date
trunk_pre_session_manager_API_change,667,59,0.08845577211394302,2010-10-08
shiro-root-1.1.0_release_first_attempt,430,1,0.002325581395348837,2010-10-28
shiro-root-1.1.0,427,205,0.48009367681498827,2010-10-30
shiro-root-1.2.0,338,52,0.15384615384615385,2012-01-20
site-template-before-redesign-20120814,711,65,0.09142053445850915,2012-08-14
shiro-root-1.2.3,330,1,0.0030303030303030303,2014-02-25
shiro-root-1.2.4,326,7,0.02147239263803681,2015-07-08
shiro-root-1.2.5,323,0,0.0,2016-05-18
shiro-root-1.2.6,322,44,0.13664596273291926,2016-06-28
shiro-root-1.3.0,295,2,0.006779661016949152,2016-07-22
shiro-root-1.3.2,292,120,0.410958904109589,2016-09-09
shiro-root-1.4.0-RC1-release-vote1,213,18,0.08450704225352113,2016-10-25
shiro-root-1.4.0-RC2,60,21,0.35,2016-11-10
