version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
0.9.0-rc1,0,0,0,6,1,0.16666666666666666,2013-09-23
0.9.0-rc2,20,4,0.2,46,5,0.10869565217391304,2013-09-27
0.9.0-rc3,7,0,0.0,17,1,0.058823529411764705,2013-11-14
0.9.0,0,0,0,2,0,0.0,2013-12-04
0.9.0.1,536,450,0.8395522388059702,147,5,0.034013605442176874,2013-12-05
v0.9.1-incubating,615,8,0.013008130081300813,232,23,0.09913793103448276,2014-02-09
v0.9.1.0-incubating,227,40,0.1762114537444934,239,56,0.23430962343096234,2014-05-02
v0.9.2-incubating,19,0,0.0,22,4,0.18181818181818182,2014-06-13
v0.9.2-incubating-security,312,218,0.6987179487179487,588,148,0.25170068027210885,2014-06-19
v0.9.3-rc1,147,45,0.30612244897959184,73,20,0.273972602739726,2014-10-09
PRE_SECURITY_MERGE,116,2,0.017241379310344827,40,14,0.35,2014-11-13
v0.9.3,429,176,0.41025641025641024,649,125,0.1926040061633282,2014-11-18
v0.9.4,431,295,0.6844547563805105,391,96,0.24552429667519182,2015-03-18
v0.9.5,181,3,0.016574585635359115,65,20,0.3076923076923077,2015-05-29
v0.10.0-beta,32,2,0.0625,26,6,0.23076923076923078,2015-06-09
v0.10.0-beta1,543,196,0.36095764272559855,638,122,0.19122257053291536,2015-06-19
v0.10.0,152,8,0.05263157894736842,43,8,0.18604651162790697,2015-10-23
v0.9.6,2558,2116,0.8272087568412823,1608,350,0.21766169154228857,2015-10-28
v1.0.0,55,12,0.21818181818181817,55,21,0.38181818181818183,2016-04-05
v0.10.1,2,1,0.5,7,4,0.5714285714285714,2016-04-27
v1.0.1,314,191,0.60828025477707,376,145,0.38563829787234044,2016-04-29
v1.0.2,245,29,0.11836734693877551,53,20,0.37735849056603776,2016-07-26
v0.9.7,193,157,0.8134715025906736,99,37,0.37373737373737376,2016-08-15
v0.10.2,945,246,0.26031746031746034,589,220,0.3735144312393888,2016-09-02
v1.0.3,499,94,0.18837675350701402,135,70,0.5185185185185185,2017-02-07
v1.1.0,3288,144,0.043795620437956206,472,166,0.3516949152542373,2017-03-21
v1.0.4,133,0,0.0,7,1,0.14285714285714285,2017-07-24
v1.1.1,514,48,0.0933852140077821,129,33,0.2558139534883721,2017-07-27
v1.0.5,480,339,0.70625,331,144,0.4350453172205438,2017-09-05
v1.2.0,59,0,0.0,1,0,0.0,2018-02-07
v1.1.2,0,0,0,0,0,0,2018-02-08
v1.0.6,210,69,0.32857142857142857,16,6,0.375,2018-02-08
v1.2.1,1929,1836,0.9517884914463453,161,54,0.33540372670807456,2018-02-16
v1.0.7,78,58,0.7435897435897436,29,19,0.6551724137931034,2018-05-03
v1.2.2,0,0,0,0,0,0,2018-05-17
