version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
syncope-archetype-0.6.1,0,0,0,0,0,0,2012-11-22
syncope-0.6,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.5.5,0,0,0,0,0,0,2012-11-22
syncope-0.1.5,0,0,0,0,0,0,2012-11-22
syncope-1.0.0-RC2-incubating,0,0,0,0,0,0,2012-11-22
syncope-0.7RC1,0,0,0,0,0,0,2012-11-22
syncope-0.7-EA,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.6.2,0,0,0,0,0,0,2012-11-22
syncope-0.1.4,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.7.1,0,0,0,0,0,0,2012-11-22
syncope-0.3,0,0,0,0,0,0,2012-11-22
syncope-0.2,0,0,0,0,0,0,2012-11-22
syncope-0.7.1,0,0,0,0,0,0,2012-11-22
syncope-0.4.3,0,0,0,0,0,0,2012-11-22
syncope-0.1.6,0,0,0,0,0,0,2012-11-22
syncope-0.7,0,0,0,0,0,0,2012-11-22
syncope-0.7RC2,0,0,0,0,0,0,2012-11-22
syncope-1.0.0-incubating,0,0,0,0,0,0,2012-11-22
syncope-0.5,0,0,0,0,0,0,2012-11-22
syncope-1.0.3-incubating,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.5,0,0,0,0,0,0,2012-11-22
syncope-0.6.1,0,0,0,0,0,0,2012-11-22
syncope-1.0.2-incubating,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.7RC3,145,31,0.21379310344827587,31,11,0.3548387096774194,2012-11-22
syncope-0.2.3,0,0,0,0,0,0,2012-11-22
syncope-0.2.1,0,0,0,0,0,0,2012-11-22
syncope-0.4.1,0,0,0,0,0,0,2012-11-22
syncope-0.4.2,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.5.1,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.7RC2,0,0,0,0,0,0,2012-11-22
syncope-0.5.2,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.5.7,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.2,0,0,0,0,0,0,2012-11-22
syncope-0_7_X-before-Activiti,0,0,0,0,0,0,2012-11-22
syncope-0.5.1,0,0,0,0,0,0,2012-11-22
syncope-1.0.0-RC3-incubating,0,0,0,0,0,0,2012-11-22
syncope-1.0.1-incubating,0,0,0,0,0,0,2012-11-22
syncope-0.2.2,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.5.2,0,0,0,0,0,0,2012-11-22
syncope-1.0.0-RC1-incubating,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.5.8,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.6.3,0,0,0,0,0,0,2012-11-22
syncope-archetype-0.6.4,0,0,0,0,0,0,2012-11-22
syncope-1.0.4,5,0,0.0,6,1,0.16666666666666666,2012-12-10
syncope-1.1.0-SNAPSHOT-before-role-provisioning,881,32,0.036322360953461974,151,22,0.1456953642384106,2012-12-11
syncope-1.0.5,445,95,0.21348314606741572,228,31,0.13596491228070176,2013-01-23
syncope-1.0.6,174,34,0.19540229885057472,66,11,0.16666666666666666,2013-02-27
syncope-1.0.7,739,738,0.9986468200270636,46,18,0.391304347826087,2013-03-26
syncope-1.1.0,19,19,1.0,44,23,0.5227272727272727,2013-04-05
syncope-1.0.8,64,58,0.90625,46,17,0.3695652173913043,2013-04-18
syncope-1.1.1,127,103,0.8110236220472441,88,33,0.375,2013-04-29
syncope-1.1.2,38,38,1.0,37,18,0.4864864864864865,2013-06-11
syncope-1.1.3,391,71,0.1815856777493606,89,31,0.34831460674157305,2013-07-12
syncope-1.1.4,463,124,0.2678185745140389,107,33,0.308411214953271,2013-09-27
syncope-1.1.5,381,80,0.2099737532808399,106,36,0.33962264150943394,2013-11-28
syncope-1.1.6,21,16,0.7619047619047619,41,14,0.34146341463414637,2014-02-22
syncope-1.0.9,0,0,0,3,0,0.0,2014-04-11
syncope-1.1.7,431,64,0.14849187935034802,158,22,0.13924050632911392,2014-04-11
syncope-1.1.8,260,235,0.9038461538461539,144,52,0.3611111111111111,2014-07-03
syncope-1.2.0-M1,95,93,0.9789473684210527,60,30,0.5,2014-09-08
syncope-1.2.0,120,88,0.7333333333333333,176,34,0.19318181818181818,2014-10-03
syncope-1.2.1,1474,82,0.05563093622795115,187,17,0.09090909090909091,2014-11-17
syncope-1.2.2,3746,38,0.01014415376401495,154,17,0.11038961038961038,2015-01-30
syncope-1.2.3,1051,15,0.014272121788772598,85,17,0.2,2015-03-20
syncope-1.2.4,944,99,0.1048728813559322,137,28,0.20437956204379562,2015-05-05
syncope-1.2.5,1149,45,0.0391644908616188,290,21,0.07241379310344828,2015-07-28
syncope-1.2.6,863,48,0.055619930475086905,217,8,0.03686635944700461,2015-11-05
syncope-2.0.0-M1,195,0,0.0,42,0,0.0,2015-12-23
syncope-1.2.7,1061,16,0.015080113100848256,214,5,0.02336448598130841,2016-01-15
syncope-2.0.0-M2,977,9,0.009211873080859774,170,4,0.023529411764705882,2016-03-21
syncope-1.2.8,0,0,0,0,0,0,2016-06-03
syncope-2.0.0-M3,420,7,0.016666666666666666,72,3,0.041666666666666664,2016-06-03
