version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
commons-text-1.0-beta-1-RC1,0,0,0,1,0,0.0,2017-01-25
commons-text-1.0-beta-1-RC2,22,0,0.0,11,0,0.0,2017-01-25
commons-text-1.0-beta-1-RC3,0,0,0,2,0,0.0,2017-01-30
commons-text-1.0-beta-1-RC4,222,22,0.0990990990990991,38,11,0.2894736842105263,2017-01-30
commons-text-1.0-beta-1,0,0,0,0,0,0,2017-01-30
commons-text-1.0-RC1,18,5,0.2777777777777778,63,3,0.047619047619047616,2017-03-04
commons-text-1.0,0,0,0,0,0,0,2017-03-04
commons-text-1.1,0,0,0,0,0,0,2017-05-18
commons-text-1.1-RC1,72,9,0.125,137,11,0.08029197080291971,2017-05-18
commons-text-1.2,0,0,0,0,0,0,2017-12-08
commons-text-1.2-RC1,61,0,0.0,54,2,0.037037037037037035,2017-12-08
commons-text-1.3-RC1,76,2,0.02631578947368421,44,3,0.06818181818181818,2018-03-16
commons-text-1.3,0,0,0,0,0,0,2018-03-16
commons-text-1.4-RC1,0,0,0,1,0,0.0,2018-06-09
