version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
release-0.2.0-rc0,343,5,0.014577259475218658,135,5,0.037037037037037035,2013-11-25
release-0.3.0-incubating-rc0,19,0,0.0,7,0,0.0,2014-02-23
release-0.3.0-incubating,0,0,0,0,0,0,2014-02-25
release-0.3.0-incubating-rc1,211,1,0.004739336492890996,73,1,0.0136986301369863,2014-02-25
release-0.4.0-incubating-rc0,0,0,0,0,0,0,2014-03-30
release-0.4.0-incubating-rc1,283,2,0.007067137809187279,115,1,0.008695652173913044,2014-04-01
release-0.4.0-incubating,0,0,0,0,0,0,2014-04-01
release-0.4.1-incubating,0,0,0,0,0,0,2014-06-26
release-0.4.1-incubating-rc0,633,15,0.023696682464454975,176,6,0.03409090909090909,2014-06-26
release-0.5.0-rc0,50,0,0.0,4,0,0.0,2014-08-19
release-0.5.0-rc1,126,0,0.0,30,0,0.0,2014-08-21
release-0.5.0-rc2,166,5,0.030120481927710843,72,5,0.06944444444444445,2014-08-29
release-0.5.0,0,0,0,0,0,0,2014-08-29
release-0.5.1-rc0,289,21,0.0726643598615917,93,6,0.06451612903225806,2014-09-28
release-0.5.1,0,0,0,0,0,0,2014-09-28
release-0.5.2-rc0,10,0,0.0,8,0,0.0,2014-11-04
release-0.5.2,315,281,0.8920634920634921,53,4,0.07547169811320754,2014-11-07
release-0.5.3-rc0,10,0,0.0,10,1,0.1,2014-12-02
release-0.5.3,0,0,0,0,0,0,2014-12-04
release-0.5.3-rc1,299,6,0.020066889632107024,109,6,0.05504587155963303,2014-12-04
release-0.6.0-rc0,403,15,0.03722084367245657,237,8,0.03375527426160337,2015-01-20
release-0.6.0,0,0,0,0,0,0,2015-01-20
release-0.5.4-RC0,90,2,0.022222222222222223,35,1,0.02857142857142857,2015-05-05
release-0.6.1-rc0,1,0,0.0,2,1,0.5,2015-05-14
release-0.6.1,0,0,0,0,0,0,2015-05-14
release-0.7.0-rc0,116,2,0.017241379310344827,58,3,0.05172413793103448,2015-05-14
release-0.7.0,0,0,0,0,0,0,2015-05-14
release-0.5.4-rc0,17,0,0.0,14,1,0.07142857142857142,2015-06-12
release-0.5.4-rc1,97,0,0.0,43,1,0.023255813953488372,2015-06-23
release-0.5.4,0,0,0,0,0,0,2015-06-23
release-0.6.2,0,0,0,0,0,0,2015-08-04
release-0.6.2-rc0,245,2,0.00816326530612245,88,2,0.022727272727272728,2015-08-04
release-0.8.0-alpha-rc0,2,0,0.0,3,0,0.0,2015-08-25
release-0.8.0-alpha-rc1,189,0,0.0,85,5,0.058823529411764705,2015-08-26
release-0.8.0-alpha,0,0,0,0,0,0,2015-08-26
release-0.8.1-alpha-rc0,316,5,0.015822784810126583,123,5,0.04065040650406504,2015-10-07
release-0.8.1-alpha,0,0,0,0,0,0,2015-10-07
release-0.8.2-rc0,4,0,0.0,5,1,0.2,2016-01-12
rel/release-0.8.2,0,0,0,0,0,0,2016-01-12
release-0.7.1-rc0,190,1,0.005263157894736842,121,46,0.38016528925619836,2016-01-19
release-0.8.3-rc0,0,0,0,0,0,0,2016-04-08
rel/release-0.8.3,0,0,0,0,0,0,2016-04-12
release-0.8.3-rc1,52,0,0.0,19,6,0.3157894736842105,2016-04-12
release-0.7.1-rc1,4,0,0.0,2,0,0.0,2016-04-28
release-0.7.1-rc2,99,0,0.0,46,0,0.0,2016-05-04
rel/release-0.7.1,0,0,0,0,0,0,2016-05-04
release-0.8.4-rc0,16,0,0.0,6,0,0.0,2016-06-30
rel/release-0.8.4,0,0,0,0,0,0,2016-07-05
release-0.8.4-rc1,323,3,0.009287925696594427,203,3,0.014778325123152709,2016-07-05
rel/release-0.8.5,0,0,0,0,0,0,2017-03-07
release-0.8.5-rc1,275,7,0.025454545454545455,120,6,0.05,2017-03-07
release-0.9.0-rc0,0,0,0,0,0,0,2017-07-14
release-0.9.0-rc1,66,4,0.06060606060606061,43,4,0.09302325581395349,2017-07-17
rel/release-0.9.0,0,0,0,0,0,0,2017-07-17
release-0.9.1-rc0,1,1,1.0,1,1,1.0,2017-11-10
release-0.9.1-rc1,4,0,0.0,4,0,0.0,2017-11-15
rel/release-0.9.1,0,0,0,0,0,0,2017-12-12
