version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
3.0.0.M1,564,40,0.07092198581560284,570,10,0.017543859649122806,2014-08-12
3.0.0.M2,404,5,0.012376237623762377,163,1,0.006134969325153374,2014-09-23
3.0.0.M3,374,27,0.07219251336898395,203,6,0.029556650246305417,2014-10-06
3.0.0.M4,399,50,0.12531328320802004,276,6,0.021739130434782608,2014-10-21
3.0.0.M5,343,3,0.008746355685131196,163,5,0.03067484662576687,2014-11-07
3.0.0.M6,668,10,0.014970059880239521,532,12,0.022556390977443608,2014-12-02
3.0.0.M7,2735,50,0.018281535648994516,1004,9,0.008964143426294821,2015-01-19
3.0.0.M8,193,96,0.49740932642487046,185,22,0.11891891891891893,2015-04-06
3.0.0.M8-incubating,321,2,0.006230529595015576,217,1,0.004608294930875576,2015-04-20
3.0.0.M9-incubating-rc1,125,4,0.032,54,2,0.037037037037037035,2015-05-04
3.0.0.M9-incubating-rc2,447,7,0.015659955257270694,322,5,0.015527950310559006,2015-05-06
3.0.0.M9-incubating-rc3,296,0,0.0,83,0,0.0,2015-05-20
3.0.0.M9-incubating,373,6,0.0160857908847185,421,9,0.021377672209026127,2015-05-26
3.0.0-incubating-rc1,71,5,0.07042253521126761,78,2,0.02564102564102564,2015-06-22
3.0.0-incubating-rc2,104,0,0.0,117,0,0.0,2015-06-26
3.0.0-incubating,438,31,0.07077625570776255,332,13,0.0391566265060241,2015-07-09
3.0.1-incubating,492,8,0.016260162601626018,332,6,0.018072289156626505,2015-09-03
3.0.2-incubating,234,108,0.46153846153846156,230,10,0.043478260869565216,2015-10-19
3.1.0-incubating,368,35,0.09510869565217392,479,15,0.031315240083507306,2015-11-16
3.1.1-incubating,523,16,0.030592734225621414,632,14,0.022151898734177215,2016-02-08
3.2.0-incubating,0,0,0,1,0,0.0,2016-04-08
3.1.2-incubating,542,38,0.07011070110701106,686,12,0.01749271137026239,2016-04-08
3.1.3,0,0,0,4,0,0.0,2016-07-18
3.2.1,375,11,0.029333333333333333,356,10,0.028089887640449437,2016-07-19
3.1.4,5,0,0.0,15,0,0.0,2016-09-06
3.2.2,210,34,0.1619047619047619,317,17,0.05362776025236593,2016-09-08
3.1.5,1,1,1.0,3,2,0.6666666666666666,2016-10-16
3.2.3,639,23,0.03599374021909233,756,15,0.01984126984126984,2016-10-17
3.1.6,3,0,0.0,10,0,0.0,2017-02-03
3.2.4,434,12,0.027649769585253458,600,7,0.011666666666666667,2017-02-08
3.1.7,4,0,0.0,4,0,0.0,2017-06-12
3.2.5,266,4,0.015037593984962405,461,4,0.008676789587852495,2017-06-15
3.1.8,0,0,0,7,0,0.0,2017-08-21
3.2.6,0,0,0,7,0,0.0,2017-08-21
3.3.0,160,37,0.23125,314,19,0.06050955414012739,2017-08-22
3.2.7-rc1,1,0,0.0,1,0,0.0,2017-10-31
3.3.1-rc1,42,5,0.11904761904761904,242,6,0.024793388429752067,2017-10-31
3.2.7,0,0,0,5,0,0.0,2017-12-16
3.3.1,107,17,0.1588785046728972,218,23,0.10550458715596331,2017-12-17
3.2.8-rc1,0,0,0,1,0,0.0,2018-02-15
3.3.2-rc1,124,23,0.18548387096774194,291,26,0.08934707903780069,2018-02-15
3.2.8,26,0,0.0,10,0,0.0,2018-04-02
3.3.2,104,5,0.04807692307692308,170,5,0.029411764705882353,2018-04-03
3.2.9,2,0,0.0,6,0,0.0,2018-05-08
3.3.3,77,8,0.1038961038961039,126,5,0.03968253968253968,2018-05-08
3.2.10-rc1,102,2,0.0196078431372549,107,4,0.037383177570093455,2018-06-04
