version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
tomee-1.0.0,0,0,0,0,0,0,2013-01-17
tomee-1.0.0-beta-1,0,0,0,0,0,0,2013-01-17
tomee-1.0.0-beta-2,0,0,0,0,0,0,2013-01-17
tomee-1.5.0,0,0,0,0,0,0,2013-01-17
tomee-1.5.1,475,94,0.19789473684210526,240,38,0.15833333333333333,2013-01-17
tomee-1.5.2,1294,248,0.19165378670788252,572,158,0.2762237762237762,2013-03-21
tomee-1.6.0,1123,679,0.6046304541406946,388,78,0.20103092783505155,2013-11-17
tomee-1.6.0.1,265,23,0.08679245283018867,62,8,0.12903225806451613,2014-04-16
tomee-1.6.0.2,3814,79,0.020713162034609333,489,39,0.07975460122699386,2014-05-06
tomee-1.7.0,183,17,0.09289617486338798,97,11,0.1134020618556701,2014-08-09
tomee-1.7.1,491,109,0.2219959266802444,444,60,0.13513513513513514,2014-09-11
openejb-4.7.2,350,63,0.18,379,46,0.12137203166226913,2015-01-19
tomee-1.7.2,1184,112,0.0945945945945946,259,40,0.15444015444015444,2015-05-17
tomee-1.7.3,0,0,0,0,0,0,2015-12-04
tomee-7.0.0-M1,193,45,0.23316062176165803,85,19,0.2235294117647059,2015-12-04
tomee-7.0.0-M2,23,7,0.30434782608695654,8,5,0.625,2016-02-22
tomee-7.0.0-M3,0,0,0,0,0,0,2016-03-03
tomee-1.7.4,196,78,0.3979591836734694,103,34,0.3300970873786408,2016-03-04
tomee-7.0.0,103,30,0.2912621359223301,58,14,0.2413793103448276,2016-05-17
tomee-7.0.1,295,167,0.5661016949152542,219,59,0.2694063926940639,2016-06-22
tomee-7.0.2,128,93,0.7265625,65,21,0.3230769230769231,2016-11-06
tomee-7.0.3,419,89,0.21241050119331742,233,47,0.2017167381974249,2017-03-07
tomee-7.0.4,2,1,0.5,3,1,0.3333333333333333,2017-09-26
tomee-1.7.5,266,114,0.42857142857142855,255,28,0.10980392156862745,2017-10-09
