version_name,#commited files in version,#bugged files in version,bugged_ratio,#commits,#bugged_commits,#ratio_bugged_commits,version_date
VALIDATOR_1_3_0_RC1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_1_4,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_0,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_0_1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_3_1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_0_2,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_2_0,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_1_0,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_1_1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_2_0_RC1,0,0,0,0,0,0,2007-07-29
STRUTS_1_1_RC1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_3_0_RC2,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_2_0_RC2,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_3_1_RC2,106,13,0.12264150943396226,173,29,0.1676300578034682,2007-07-29
STRUTS_1_1_B1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_3_0_RC3,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_2_0_RC3,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_3_1_RC1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_1_2,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_2_1_RC1,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_3_0,0,0,0,0,0,0,2007-07-29
STRUTS_1_1_B3,0,0,0,0,0,0,2007-07-29
STRUTS_1_1_B2,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_1_3,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_2_1_RC2,0,0,0,0,0,0,2007-07-29
VALIDATOR_1_4_0_BETA1_RC1,56,1,0.017857142857142856,63,8,0.12698412698412698,2011-07-08
VALIDATOR_1_4_0_RC1,1,0,0.0,8,1,0.125,2012-01-27
VALIDATOR_1_4_0_RC2,0,0,0,3,0,0.0,2012-01-29
VALIDATOR_1_4_0,49,18,0.3673469387755102,80,8,0.1,2012-02-03
VALIDATOR_1_4_1_RC1,40,8,0.2,55,8,0.14545454545454545,2014-12-26
VALIDATOR_1_4_1_RC2,125,10,0.08,61,23,0.3770491803278688,2015-01-01
VALIDATOR_1_4_1_RC3,0,0,0,1,0,0.0,2015-01-10
VALIDATOR_1_4_1,68,21,0.3088235294117647,99,24,0.24242424242424243,2015-01-13
VALIDATOR_1_5_0_RC1,0,0,0,0,0,0,2015-11-18
NET_3_4_RC2,32,1,0.03125,16,1,0.0625,2015-11-19
VALIDATOR_1_5_0,8,6,0.75,21,5,0.23809523809523808,2015-11-25
VALIDATOR_1_5_1_RC1,100,1,0.01,14,1,0.07142857142857142,2016-04-15
VALIDATOR_1_5_1_RC2,1,0,0.0,4,0,0.0,2016-04-25
VALIDATOR_1_5_1,19,8,0.42105263157894735,57,13,0.22807017543859648,2016-04-30
VALIDATOR_1_6_RC1,0,0,0,1,0,0.0,2017-02-16
